seed,nonempty_settings,total_settings,fraction
1729,255,360,0.7083333333333334
2718,255,360,0.7083333333333334
31415,262,360,0.7277777777777777
57721,254,360,0.7055555555555556
65537,256,360,0.7111111111111111
