family,instance_id,restricted,topology,synthesis,baseline_true_cells,common_true_cells,lost_in_any_other_seed,lost_in_all_other_seeds,new_true_cells,baseline_unknown_under_other_seeds,retention,classification
pair_star_isolated,pair_star_isolated_022,False,grid12,canonical,568,60,508,0,1286,0,0.1056338028169014,partial
pair_star_isolated,pair_star_isolated_022,False,grid12,reuse,248,24,224,0,1620,0,0.0967741935483871,partial
pair_star_isolated,pair_star_isolated_022,False,line12,canonical,508,372,136,28,53,0,0.7322834645669292,partial
pair_star_isolated,pair_star_isolated_022,False,line12,reuse,510,482,28,0,72,0,0.9450980392156862,partial
pair_star_isolated,pair_star_isolated_022,False,ring12,canonical,136,73,63,43,148,0,0.5367647058823529,partial
pair_star_isolated,pair_star_isolated_022,False,ring12,reuse,84,84,0,0,162,0,1.0,stable
pair_star_isolated,pair_star_isolated_023,False,grid12,canonical,931,858,73,1,110,0,0.9215896885069818,partial
pair_star_isolated,pair_star_isolated_023,False,grid12,reuse,528,486,42,0,0,0,0.9204545454545454,partial
pair_star_isolated,pair_star_isolated_023,False,line12,canonical,534,433,101,0,450,0,0.8108614232209738,partial
pair_star_isolated,pair_star_isolated_023,False,line12,reuse,45,0,45,45,405,0,0.0,disappeared
pair_star_isolated,pair_star_isolated_023,False,ring12,canonical,69,37,32,0,0,0,0.5362318840579711,partial
pair_star_isolated,pair_star_isolated_023,False,ring12,reuse,90,80,10,0,12,0,0.8888888888888888,partial
pair_star_isolated,pair_star_isolated_024,False,grid12,canonical,36,36,0,0,912,0,1.0,stable
pair_star_isolated,pair_star_isolated_024,False,grid12,reuse,562,304,258,54,36,0,0.5409252669039146,partial
pair_star_isolated,pair_star_isolated_024,False,line12,canonical,636,371,265,218,111,0,0.5833333333333334,partial
pair_star_isolated,pair_star_isolated_024,False,line12,reuse,972,739,233,120,0,0,0.7602880658436214,partial
pair_star_isolated,pair_star_isolated_024,False,ring12,canonical,80,74,6,0,0,0,0.925,partial
pair_star_isolated,pair_star_isolated_024,False,ring12,reuse,18,18,0,0,0,0,1.0,stable
pair_star_isolated,pair_star_isolated_025,True,grid12,canonical,502,330,172,0,57,0,0.6573705179282868,partial
pair_star_isolated,pair_star_isolated_025,True,grid12,reuse,442,378,64,0,176,0,0.8552036199095022,partial
pair_star_isolated,pair_star_isolated_025,True,line12,canonical,755,685,70,0,63,0,0.9072847682119205,partial
pair_star_isolated,pair_star_isolated_025,True,line12,reuse,200,180,20,0,85,0,0.9,partial
pair_star_isolated,pair_star_isolated_025,True,ring12,canonical,254,230,24,12,12,0,0.905511811023622,partial
pair_star_isolated,pair_star_isolated_025,True,ring12,reuse,68,45,23,0,0,0,0.6617647058823529,partial
pair_star_isolated,pair_star_isolated_026,False,grid12,canonical,645,582,63,0,72,0,0.9023255813953488,partial
pair_star_isolated,pair_star_isolated_026,False,grid12,reuse,504,504,0,0,81,0,1.0,stable
pair_star_isolated,pair_star_isolated_026,False,line12,canonical,577,546,31,31,297,0,0.9462738301559792,partial
pair_star_isolated,pair_star_isolated_026,False,line12,reuse,819,711,108,0,45,0,0.8681318681318682,partial
pair_star_isolated,pair_star_isolated_026,False,ring12,canonical,118,72,46,10,42,0,0.6101694915254238,partial
pair_star_isolated,pair_star_isolated_026,False,ring12,reuse,110,98,12,0,28,0,0.8909090909090909,partial
pair_star_isolated,pair_star_isolated_027,True,grid12,canonical,510,23,487,0,51,0,0.045098039215686274,partial
pair_star_isolated,pair_star_isolated_027,True,grid12,reuse,210,84,126,6,1626,0,0.4,partial
pair_star_isolated,pair_star_isolated_027,True,line12,canonical,320,280,40,0,158,0,0.875,partial
pair_star_isolated,pair_star_isolated_027,True,line12,reuse,144,75,69,9,90,0,0.5208333333333334,partial
pair_star_isolated,pair_star_isolated_027,True,ring12,canonical,102,102,0,0,85,0,1.0,stable
pair_star_isolated,pair_star_isolated_027,True,ring12,reuse,144,115,29,0,84,0,0.7986111111111112,partial
pair_star_isolated,pair_star_isolated_028,False,grid12,canonical,150,120,30,0,550,0,0.8,partial
pair_star_isolated,pair_star_isolated_028,False,grid12,reuse,36,36,0,0,36,0,1.0,stable
pair_star_isolated,pair_star_isolated_028,False,line12,canonical,30,30,0,0,42,0,1.0,stable
pair_star_isolated,pair_star_isolated_028,False,line12,reuse,60,0,60,0,60,0,0.0,disappeared
pair_star_isolated,pair_star_isolated_028,False,ring12,canonical,57,45,12,0,20,0,0.7894736842105263,partial
pair_star_isolated,pair_star_isolated_028,False,ring12,reuse,106,103,3,0,30,0,0.9716981132075472,partial
pair_star_isolated,pair_star_isolated_029,False,grid12,canonical,713,549,164,0,1659,0,0.7699859747545582,partial
pair_star_isolated,pair_star_isolated_029,False,grid12,reuse,1272,132,1140,282,18,0,0.10377358490566038,partial
pair_star_isolated,pair_star_isolated_029,False,line12,canonical,659,617,42,0,56,0,0.936267071320182,partial
pair_star_isolated,pair_star_isolated_029,False,line12,reuse,483,467,16,0,1,0,0.9668737060041408,partial
pair_star_isolated,pair_star_isolated_029,False,ring12,canonical,37,37,0,0,40,0,1.0,stable
pair_star_isolated,pair_star_isolated_029,False,ring12,reuse,0,0,0,0,6,0,N/A,empty_baseline
