family,instance_id,topology,synthesis,seed,selected_candidate_id,selected_category,baseline_selected_candidate_id,baseline_selected_feasible,baseline_budget_cells,retained_baseline_budget_cells,baseline_coverage_retention,baseline_resource_task_id,current_resource_task_id,budget_set_definition
max3sat,max3sat_000,ring12,canonical,1729,c1d4cfa680668764e61f3d3f,native,c1d4cfa680668764e61f3d3f,TRUE,9555,9555,1.0,491d62de2df58ec1a0d449e6,491d62de2df58ec1a0d449e6,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,ring12,canonical,2718,c1d4cfa680668764e61f3d3f,native,c1d4cfa680668764e61f3d3f,TRUE,9555,9555,1.0,491d62de2df58ec1a0d449e6,771aead1712b0e79c7027991,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,ring12,canonical,31415,c1d4cfa680668764e61f3d3f,native,c1d4cfa680668764e61f3d3f,TRUE,9555,9555,1.0,491d62de2df58ec1a0d449e6,911aafb0cc2576e9fa69c2e4,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,ring12,canonical,57721,c1d4cfa680668764e61f3d3f,native,c1d4cfa680668764e61f3d3f,FALSE,9555,7252,0.7589743589743589,491d62de2df58ec1a0d449e6,799c06337b40ce5eef039a77,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,ring12,canonical,65537,c1d4cfa680668764e61f3d3f,native,c1d4cfa680668764e61f3d3f,FALSE,9555,6860,0.717948717948718,491d62de2df58ec1a0d449e6,6fcf58a3dfc52ba0923f7d6a,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,ring12,reuse,1729,f6258f01d54f29f628dcde85,native,f6258f01d54f29f628dcde85,TRUE,13524,13524,1.0,253d04374021b1f95e28a04e,253d04374021b1f95e28a04e,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,ring12,reuse,2718,f6258f01d54f29f628dcde85,native,f6258f01d54f29f628dcde85,TRUE,13524,13524,1.0,253d04374021b1f95e28a04e,d38184ec52eb4b15368a4e8f,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,ring12,reuse,31415,f6258f01d54f29f628dcde85,native,f6258f01d54f29f628dcde85,TRUE,13524,13524,1.0,253d04374021b1f95e28a04e,51335233e4424b14f9e0f5f9,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,ring12,reuse,57721,f6258f01d54f29f628dcde85,native,f6258f01d54f29f628dcde85,TRUE,13524,13524,1.0,253d04374021b1f95e28a04e,575030f412be7ca29f6d4616,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,ring12,reuse,65537,f6258f01d54f29f628dcde85,native,f6258f01d54f29f628dcde85,TRUE,13524,13524,1.0,253d04374021b1f95e28a04e,9e02ac15957dab626e95fe54,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,grid12,canonical,1729,7780096626ded5529a1b519c,native,7780096626ded5529a1b519c,TRUE,9660,9660,1.0,cd47182c8d8d31e864808aa1,cd47182c8d8d31e864808aa1,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,grid12,canonical,2718,7780096626ded5529a1b519c,native,7780096626ded5529a1b519c,TRUE,9660,9660,1.0,cd47182c8d8d31e864808aa1,8eafa93718e497eead4e74f2,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,grid12,canonical,31415,7780096626ded5529a1b519c,native,7780096626ded5529a1b519c,TRUE,9660,9660,1.0,cd47182c8d8d31e864808aa1,59c7d4ca0490ff8f4b47a6ab,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,grid12,canonical,57721,7780096626ded5529a1b519c,native,7780096626ded5529a1b519c,TRUE,9660,9660,1.0,cd47182c8d8d31e864808aa1,5434d150e698376546ce110b,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,grid12,canonical,65537,7780096626ded5529a1b519c,native,7780096626ded5529a1b519c,FALSE,9660,8050,0.8333333333333334,cd47182c8d8d31e864808aa1,6a23c87efb6769a30b118f30,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,grid12,reuse,1729,b271f08c10b1893a19ea43c9,native,b271f08c10b1893a19ea43c9,TRUE,14406,14406,1.0,f3853a68f4973a24aed2b90d,f3853a68f4973a24aed2b90d,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,grid12,reuse,2718,b271f08c10b1893a19ea43c9,native,b271f08c10b1893a19ea43c9,TRUE,14406,14406,1.0,f3853a68f4973a24aed2b90d,3443582af4d1679421d3725f,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_001,grid12,reuse,31415,b271f08c10b1893a19ea43c9,native,b271f08c10b1893a19ea43c9,TRUE,14406,14406,1.0,f3853a68f4973a24aed2b90d,927fc8e566488322763b421d,all complete grid tuples feasible for the fixed baseline J winner
