ci95_high,ci95_low,df,dz,family,favorable_direction,losses,mean,metric,n_instances,noise_level,representation,sd,ties,wins
3.1806212471164184,1.6833110445502486,8,2.4969771257626743,cubic_spin_glass,lower,9,2.4319661458333335,original_objective_mean,9,noiseless,fully_quadratized,0.9739641267600784,0,0
0.004072744863552247,-0.2752496835209597,8,-0.7462524528047793,cubic_spin_glass,higher,9,-0.13558846932870372,optimum_hit_rate,9,noiseless,fully_quadratized,0.1816924940334821,0,0
73.30884653893344,40.13429582217768,8,2.6285244737632407,cubic_spin_glass,lower,9,56.72157118055556,encoded_energy_mean,9,noiseless,fully_quadratized,21.579244076562723,0,0
0.9485215559989977,0.7994168120565579,8,9.011010198249531,cubic_spin_glass,lower,9,0.8739691840277778,auxiliary_inconsistency_rate,9,noiseless,fully_quadratized,0.09698903505819514,0,0
0.1618053601402808,-0.05203250134398449,8,0.39459283864326133,cubic_spin_glass,lower,6,0.054886429398148154,original_objective_mean,9,realistic_high,fully_quadratized,0.13909636471575504,1,2
0.001307401983985818,-0.002012697122874713,8,-0.1632896543616652,cubic_spin_glass,higher,0,-0.00035264756944444753,optimum_hit_rate,9,realistic_high,fully_quadratized,0.002159644288690693,9,0
67.73260244745342,35.64440493101881,8,2.476380984812184,cubic_spin_glass,lower,9,51.688503689236114,encoded_energy_mean,9,realistic_high,fully_quadratized,20.872597555160247,0,0
0.9465088498516699,0.7970711559353673,8,8.968515234307025,cubic_spin_glass,lower,9,0.8717900028935186,auxiliary_inconsistency_rate,9,realistic_high,fully_quadratized,0.09720561097545816,0,0
0.8656672264278683,0.1812801115350947,8,1.1758768481304334,cubic_spin_glass,lower,9,0.5234736689814815,original_objective_mean,9,realistic_low,fully_quadratized,0.44517729030363185,0,0
0.0031370321619249505,-0.03870922544896199,8,-0.6534206362486287,cubic_spin_glass,higher,5,-0.01778609664351852,optimum_hit_rate,9,realistic_low,fully_quadratized,0.027219979989659915,4,0
69.70925337303389,36.657662859605,8,2.4737341922241427,cubic_spin_glass,lower,9,53.18345811631944,encoded_energy_mean,9,realistic_low,fully_quadratized,21.499261433784856,0,0
0.9470245784231381,0.7981287780583435,8,9.009277733717393,cubic_spin_glass,lower,9,0.8725766782407408,auxiliary_inconsistency_rate,9,realistic_low,fully_quadratized,0.09685312230691989,0,0
0.9388270151311892,-0.7407439711497076,8,0.09065416551135314,cubic_spin_glass,lower,4,0.09904152199074079,original_objective_mean,9,noiseless,matched_random_selective,1.0925203649724982,0,5
0.029249999911198036,-0.03342028347601287,8,-0.0511496604433708,cubic_spin_glass,higher,4,-0.0020851417824074175,optimum_hit_rate,9,noiseless,matched_random_selective,0.04076550585738366,1,4
6.976853893043355,-3.018878632626688,8,0.3043667983350993,cubic_spin_glass,lower,4,1.9789876302083336,encoded_energy_mean,9,noiseless,matched_random_selective,6.501982611222673,0,5
0.271847334388741,-0.10739059249059284,8,0.3333333333333333,cubic_spin_glass,lower,1,0.08222837094907408,auxiliary_inconsistency_rate,9,noiseless,matched_random_selective,0.24668511284722225,8,0
0.05187165097410103,-0.12546106069632323,8,-0.318981349667856,cubic_spin_glass,lower,1,-0.03679470486111111,original_objective_mean,9,realistic_high,matched_random_selective,0.11535064636043496,5,3
0.0015618211876747632,4.408159010300429e-05,8,0.8133188003651814,cubic_spin_glass,higher,0,0.0008029513888888838,optimum_hit_rate,9,realistic_high,matched_random_selective,0.0009872529548417635,9,0
6.279351866219972,-2.5013353731644177,8,0.33073043974579425,cubic_spin_glass,lower,2,1.8890082465277775,encoded_energy_mean,9,realistic_high,matched_random_selective,5.711624995811409,5,2
0.2712554391171387,-0.1071567701356572,8,0.33333333333333337,cubic_spin_glass,lower,1,0.08204933449074074,auxiliary_inconsistency_rate,9,realistic_high,matched_random_selective,0.2461480034722222,8,0
0.18449876366881418,-0.32557225903918446,8,-0.21259527216729968,cubic_spin_glass,lower,3,-0.07053674768518514,original_objective_mean,9,realistic_low,matched_random_selective,0.331788882067316,0,6
0.0063544384955407434,-0.0029111514585037,8,0.2856531239235482,cubic_spin_glass,higher,0,0.0017216435185185217,optimum_hit_rate,9,realistic_low,matched_random_selective,0.006027042501307635,9,0
6.260484551406505,-2.6315529831194686,8,0.3137013000057754,cubic_spin_glass,lower,3,1.8144657841435183,encoded_energy_mean,9,realistic_low,matched_random_selective,5.784055673693775,0,6
0.27124946037702147,-0.10715440829368815,8,0.33333333333333337,cubic_spin_glass,lower,1,0.08204752604166667,auxiliary_inconsistency_rate,9,realistic_low,matched_random_selective,0.24614257812499998,8,0
1.1255191269532905,-0.8677066269532903,8,0.0994228726880057,cubic_spin_glass,lower,4,0.1289062500000001,original_objective_mean,9,noiseless,selective,1.2965452165571079,0,5
