ci95_high,ci95_low,df,family,mean,metric,n_instances,noise_level,representation,sd
-2.3116993253503666,-3.7921418204829664,8,cubic_spin_glass,-3.0519205729166665,original_objective_mean,9,noiseless,all_native,0.9629920904293128
0.38677318036450725,0.009349504820678006,8,cubic_spin_glass,0.19806134259259262,optimum_hit_rate,9,noiseless,all_native,0.24550498616760727
-2.3116993253503666,-3.7921418204829664,8,cubic_spin_glass,-3.0519205729166665,encoded_energy_mean,9,noiseless,all_native,0.9629920904293128
0.0,0.0,8,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,9,noiseless,all_native,0.0
0.0010633504861270737,-0.17478296854168263,8,cubic_spin_glass,-0.08685980902777778,original_objective_mean,9,realistic_high,all_native,0.11438378384276457
0.07987529510322684,0.0008900405449213111,8,cubic_spin_glass,0.04038266782407408,optimum_hit_rate,9,realistic_high,all_native,0.05137800059797753
0.0010633504861270737,-0.17478296854168263,8,cubic_spin_glass,-0.08685980902777778,encoded_energy_mean,9,realistic_high,all_native,0.11438378384276457
0.0,0.0,8,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,9,realistic_high,all_native,0.0
-0.3501184644033018,-1.046944614300402,8,cubic_spin_glass,-0.6985315393518519,original_objective_mean,9,realistic_low,all_native,0.45326858217151816
0.1226921012831916,0.0043695306612528476,8,cubic_spin_glass,0.06353081597222222,optimum_hit_rate,9,realistic_low,all_native,0.07696597470203335
-0.3501184644033018,-1.046944614300402,8,cubic_spin_glass,-0.6985315393518519,encoded_energy_mean,9,realistic_low,all_native,0.45326858217151816
0.0,0.0,8,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,9,realistic_low,all_native,0.0
-0.43180691921741454,-0.8081019349492522,8,cubic_spin_glass,-0.6199544270833334,original_objective_mean,9,noiseless,fully_quadratized,0.244770820217017
0.11960354801297068,0.005342198514807099,8,cubic_spin_glass,0.06247287326388889,optimum_hit_rate,9,noiseless,fully_quadratized,0.07432424843942047
70.12828388819649,37.21101732708128,8,cubic_spin_glass,53.669650607638886,encoded_energy_mean,9,noiseless,fully_quadratized,21.411886946725378
