budget_key,ci95_high,ci95_low,df,family,mean,metric,n_instances,representation,sd
equal_2q_budget_128,-1.7367781250146401,-3.3619807353409077,6,cubic_spin_glass,-2.549379430177774,original_objective_mean,7,all_native,0.878634417297109
equal_2q_budget_128,0.36929298420603407,-0.023990530650701863,6,cubic_spin_glass,0.17265122677766612,optimum_hit_rate,7,all_native,0.212621140104701
equal_2q_budget_128,-1.7367781250146401,-3.3619807353409077,6,cubic_spin_glass,-2.549379430177774,encoded_energy_mean,7,all_native,0.878634417297109
equal_2q_budget_128,0.0,0.0,6,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,7,all_native,0.0
equal_2q_budget_256,-2.1018738768005827,-3.7799855356311456,6,cubic_spin_glass,-2.940929706215864,original_objective_mean,7,all_native,0.9072386729800256
equal_2q_budget_256,0.345834857592637,0.012910166672490925,6,cubic_spin_glass,0.17937251213256394,optimum_hit_rate,7,all_native,0.17998930714965933
equal_2q_budget_256,-2.1018738768005827,-3.7799855356311456,6,cubic_spin_glass,-2.940929706215864,encoded_energy_mean,7,all_native,0.9072386729800256
equal_2q_budget_256,0.0,0.0,6,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,7,all_native,0.0
equal_layer_p1,-1.5584395911673106,-3.1365242933361053,6,cubic_spin_glass,-2.347481942251708,original_objective_mean,7,all_native,0.8531610298467354
equal_layer_p1,0.2693162997385722,-0.013431141834041566,6,cubic_spin_glass,0.1279425789522653,optimum_hit_rate,7,all_native,0.15286194594440625
equal_layer_p1,-1.5584395911673106,-3.1365242933361053,6,cubic_spin_glass,-2.347481942251708,encoded_energy_mean,7,all_native,0.8531610298467354
equal_layer_p1,0.0,0.0,6,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,7,all_native,0.0
equal_layer_p2,-1.6016009328334522,-3.639138982949397,6,cubic_spin_glass,-2.6203699578914246,original_objective_mean,7,all_native,1.1015556128259658
equal_layer_p2,0.32649724387553924,-0.003632360758258485,6,cubic_spin_glass,0.1614324415586404,optimum_hit_rate,7,all_native,0.17847819770712173
equal_layer_p2,-1.6016009328334522,-3.639138982949397,6,cubic_spin_glass,-2.6203699578914246,encoded_energy_mean,7,all_native,1.1015556128259658
equal_layer_p2,0.0,0.0,6,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,7,all_native,0.0
equal_2q_budget_128,-0.08542891280752302,-0.9256634790037761,6,cubic_spin_glass,-0.5055461959056495,original_objective_mean,7,fully_quadratized,0.4542565977755382
equal_2q_budget_128,0.14009963885986515,-0.011381870691924312,6,cubic_spin_glass,0.06435888408397042,optimum_hit_rate,7,fully_quadratized,0.0818955538408858
equal_2q_budget_128,68.88372631444079,29.4905271509191,6,cubic_spin_glass,49.18712673267994,encoded_energy_mean,7,fully_quadratized,21.29717265563662
equal_2q_budget_128,0.9570352644548482,0.8256225547884367,6,cubic_spin_glass,0.8913289096216425,auxiliary_inconsistency_rate,7,fully_quadratized,0.07104574460411532
equal_2q_budget_256,-0.11050514598650285,-0.8556868230817589,6,cubic_spin_glass,-0.4830959845341309,original_objective_mean,7,fully_quadratized,0.40286808824632026
equal_2q_budget_256,0.1165580192611278,-0.0036302970822249397,6,cubic_spin_glass,0.05646386108945143,optimum_hit_rate,7,fully_quadratized,0.06497749303704496
equal_2q_budget_256,67.83696535199428,27.109764504812695,6,cubic_spin_glass,47.473364928403484,encoded_energy_mean,7,fully_quadratized,22.018374913464996
equal_2q_budget_256,0.9533444341648158,0.8345009581312273,6,cubic_spin_glass,0.8939226961480216,auxiliary_inconsistency_rate,7,fully_quadratized,0.06425043108524921
equal_layer_p1,-0.23194584142620767,-0.7892721615055793,6,cubic_spin_glass,-0.5106090014658935,original_objective_mean,7,fully_quadratized,0.3013077159585499
equal_layer_p1,0.12045862021330227,-0.006677074299862459,6,cubic_spin_glass,0.056890772956719904,optimum_hit_rate,7,fully_quadratized,0.06873345892781471
equal_layer_p1,75.65187135358954,24.950449259218182,6,cubic_spin_glass,50.30116030640386,encoded_energy_mean,7,fully_quadratized,27.410745081857524
equal_layer_p1,0.9697861180100533,0.7860959828716045,6,cubic_spin_glass,0.8779410504408289,auxiliary_inconsistency_rate,7,fully_quadratized,0.09930852548790642
equal_layer_p2,-0.12553300670401968,-1.0328823661338062,6,cubic_spin_glass,-0.579207686418913,original_objective_mean,7,fully_quadratized,0.4905409151093155
equal_layer_p2,0.13039931985597072,-0.004939185771152238,6,cubic_spin_glass,0.06273006704240924,optimum_hit_rate,7,fully_quadratized,0.07316815040413718
equal_layer_p2,70.3008026604484,29.35504114040139,6,cubic_spin_glass,49.8279219004249,encoded_energy_mean,7,fully_quadratized,22.136535522011293
equal_layer_p2,0.9626504331146052,0.8588431315750494,6,cubic_spin_glass,0.9107467823448273,auxiliary_inconsistency_rate,7,fully_quadratized,0.05612141361321236
equal_2q_budget_128,-1.1606596856374727,-3.0426569320443173,6,cubic_spin_glass,-2.101658308840895,original_objective_mean,7,matched_random_selective,1.0174654799622036
equal_2q_budget_128,0.36543692949800904,-0.026737190909089326,6,cubic_spin_glass,0.16934986929445986,optimum_hit_rate,7,matched_random_selective,0.21202136741198163
equal_2q_budget_128,15.33121076731808,-9.920241670714159,6,cubic_spin_glass,2.705484548301961,encoded_energy_mean,7,matched_random_selective,13.651710290043166
equal_2q_budget_128,0.4308639813931222,-0.18086398139312224,6,cubic_spin_glass,0.12499999999999997,auxiliary_inconsistency_rate,7,matched_random_selective,0.33071891388307373
equal_2q_budget_256,-1.6267407838886072,-3.169721442145696,6,cubic_spin_glass,-2.3982311130171516,original_objective_mean,7,matched_random_selective,0.8341827061773303
equal_2q_budget_256,0.3542837370719697,-0.00494876695155308,6,cubic_spin_glass,0.17466748506020832,optimum_hit_rate,7,matched_random_selective,0.19421211844074274
equal_2q_budget_256,15.676261656531501,-10.347651535917628,6,cubic_spin_glass,2.664305060306937,encoded_energy_mean,7,matched_random_selective,14.06932628483025
equal_2q_budget_256,0.4232470782783814,-0.17766663029692853,6,cubic_spin_glass,0.12279022399072644,auxiliary_inconsistency_rate,7,matched_random_selective,0.3248723961093792
equal_layer_p1,-1.3747567923748243,-2.531761418811004,6,cubic_spin_glass,-1.9532591055929143,original_objective_mean,7,matched_random_selective,0.6255122157075098
equal_layer_p1,0.2667925719585352,-0.007653966233834741,6,cubic_spin_glass,0.12956930286235022,optimum_hit_rate,7,matched_random_selective,0.14837422277795384
equal_layer_p1,16.465936758063215,-9.983540580117293,6,cubic_spin_glass,3.2411980889729612,encoded_energy_mean,7,matched_random_selective,14.299399324850883
equal_layer_p1,0.43377354345877983,-0.18208532966550225,6,cubic_spin_glass,0.1258441068966388,auxiliary_inconsistency_rate,7,matched_random_selective,0.33295221081153464
equal_layer_p2,-1.6599549488418373,-3.0395683695982605,6,cubic_spin_glass,-2.3497616592200488,original_objective_mean,7,matched_random_selective,0.7458613629707627
equal_layer_p2,0.3127097443710777,-0.004599996454354743,6,cubic_spin_glass,0.15405487395836145,optimum_hit_rate,7,matched_random_selective,0.17154738582217768
equal_layer_p2,15.950506345473173,-10.356960862522026,6,cubic_spin_glass,2.7967727414755736,encoded_energy_mean,7,matched_random_selective,14.222624289422772
equal_layer_p2,0.43257606978540136,-0.18158266556375852,6,cubic_spin_glass,0.12549670211082142,auxiliary_inconsistency_rate,7,matched_random_selective,0.33203306414398814
equal_2q_budget_128,-1.0465766574272963,-3.189678368966992,6,cubic_spin_glass,-2.118127513197144,original_objective_mean,7,selective,1.1586265685046466
equal_2q_budget_128,0.35688254157330757,-0.027137634236556324,6,cubic_spin_glass,0.16487245366837563,optimum_hit_rate,7,selective,0.20761309467457462
equal_2q_budget_128,14.150725445944499,-9.458409043767361,6,cubic_spin_glass,2.346158201088568,encoded_energy_mean,7,selective,12.763822795665238
equal_2q_budget_128,0.43086398139312226,-0.18086398139312226,6,cubic_spin_glass,0.12499999999999999,auxiliary_inconsistency_rate,7,selective,0.3307189138830738
equal_2q_budget_256,-1.5130157287950494,-2.7266210099915638,6,cubic_spin_glass,-2.1198183693933066,original_objective_mean,7,selective,0.6561122670475684
equal_2q_budget_256,0.29416143959464314,0.007405655090018115,6,cubic_spin_glass,0.15078354734233063,optimum_hit_rate,7,selective,0.15502897917092054
equal_2q_budget_256,14.550205885818556,-9.33166203354132,6,cubic_spin_glass,2.609271926138619,encoded_energy_mean,7,selective,12.911270859379655
equal_2q_budget_256,0.43442078110040994,-0.18235702092266934,6,cubic_spin_glass,0.1260318800888703,auxiliary_inconsistency_rate,7,selective,0.3334490119810639
equal_layer_p1,-1.064999728371768,-2.8721692240953436,6,cubic_spin_glass,-1.9685844762335558,original_objective_mean,7,selective,0.9770113010792096
equal_layer_p1,0.23628642420889354,-0.005311180333400445,6,cubic_spin_glass,0.11548762193774655,optimum_hit_rate,7,selective,0.13061508093737334
equal_layer_p1,13.980670365534634,-8.888297936256864,6,cubic_spin_glass,2.5461862146388845,encoded_energy_mean,7,selective,12.363666234819034
equal_layer_p1,0.44446181448225847,-0.18657195035090895,6,cubic_spin_glass,0.12894493206567476,auxiliary_inconsistency_rate,7,selective,0.34115622306789356
equal_layer_p2,-1.8137299795724766,-2.877266370490327,6,cubic_spin_glass,-2.345498175031402,original_objective_mean,7,selective,0.5749804185465704
equal_layer_p2,0.28424398875249557,0.00970324886863047,6,cubic_spin_glass,0.146973618810563,optimum_hit_rate,7,selective,0.14842515110392956
equal_layer_p2,12.995937112004967,-8.938298309152238,6,cubic_spin_glass,2.0288194014263636,encoded_energy_mean,7,selective,11.858320947599934
equal_layer_p2,0.4493011349265591,-0.18860335422914298,6,cubic_spin_glass,0.13034889034870806,auxiliary_inconsistency_rate,7,selective,0.3448707475359089
equal_2q_budget_128,14.982072290970402,4.734258045777308,6,max3sat,9.858165168373855,original_objective_mean,7,all_native,5.5402829411445715
equal_2q_budget_128,0.16977591508111683,0.015256162373456048,6,max3sat,0.09251603872728645,optimum_hit_rate,7,all_native,0.08353812135087155
equal_2q_budget_128,14.982072290970402,4.734258045777308,6,max3sat,9.858165168373855,encoded_energy_mean,7,all_native,5.5402829411445715
equal_2q_budget_128,0.0,0.0,6,max3sat,0.0,auxiliary_inconsistency_rate,7,all_native,0.0
equal_2q_budget_256,12.216792606038428,3.6134426836633518,6,max3sat,7.9151176448508895,original_objective_mean,7,all_native,4.651235050829513
equal_2q_budget_256,0.25440597316494795,0.01677232921928666,6,max3sat,0.1355891511921173,optimum_hit_rate,7,all_native,0.12847204216369587
equal_2q_budget_256,12.216792606038428,3.6134426836633518,6,max3sat,7.9151176448508895,encoded_energy_mean,7,all_native,4.651235050829513
equal_2q_budget_256,0.0,0.0,6,max3sat,0.0,auxiliary_inconsistency_rate,7,all_native,0.0
equal_layer_p1,12.766395631062373,3.4914827740995262,6,max3sat,8.12893920258095,original_objective_mean,7,all_native,5.0143025871235904
equal_layer_p1,0.24434371992451792,0.03380154473607838,6,max3sat,0.13907263233029815,optimum_hit_rate,7,all_native,0.1138255625715632
equal_layer_p1,12.766395631062373,3.4914827740995262,6,max3sat,8.12893920258095,encoded_energy_mean,7,all_native,5.0143025871235904
equal_layer_p1,0.0,0.0,6,max3sat,0.0,auxiliary_inconsistency_rate,7,all_native,0.0
equal_layer_p2,12.15002321688425,3.725233772922241,6,max3sat,7.937628494903246,original_objective_mean,7,all_native,4.55469977522393
equal_layer_p2,0.24374723191175826,0.045898908754041595,6,max3sat,0.14482307033289993,optimum_hit_rate,7,all_native,0.10696287652158766
equal_layer_p2,12.15002321688425,3.725233772922241,6,max3sat,7.937628494903246,encoded_energy_mean,7,all_native,4.55469977522393
equal_layer_p2,0.0,0.0,6,max3sat,0.0,auxiliary_inconsistency_rate,7,all_native,0.0
equal_2q_budget_128,14.467637987047521,5.737981250646921,6,max3sat,10.102809618847221,original_objective_mean,7,fully_quadratized,4.719520391522936
equal_2q_budget_128,0.09996781765226888,0.014600771270494431,6,max3sat,0.057284294461381655,optimum_hit_rate,7,fully_quadratized,0.04615204564492286
equal_2q_budget_128,52.037085725196576,24.241126844538794,6,max3sat,38.13910628486769,encoded_energy_mean,7,fully_quadratized,15.027348577429507
equal_2q_budget_128,0.966091543616446,0.739757488402537,6,max3sat,0.8529245160094915,auxiliary_inconsistency_rate,7,fully_quadratized,0.12236313765053675
equal_2q_budget_256,14.011101129450942,5.528183790287088,6,max3sat,9.769642459869015,original_objective_mean,7,fully_quadratized,4.586125499625842
equal_2q_budget_256,0.12217578895127867,0.01963816531735349,6,max3sat,0.07090697713431608,optimum_hit_rate,7,fully_quadratized,0.055434986764227194
equal_2q_budget_256,50.062695682062355,23.87393530486918,6,max3sat,36.96831549346577,encoded_energy_mean,7,fully_quadratized,14.158447732944083
equal_2q_budget_256,0.9599917506447898,0.719829143328622,6,max3sat,0.8399104469867059,auxiliary_inconsistency_rate,7,fully_quadratized,0.1298392773891947
equal_layer_p1,14.134130784581842,5.671796067125857,6,max3sat,9.90296342585385,original_objective_mean,7,fully_quadratized,4.574997902539894
equal_layer_p1,0.10786489997616112,0.021056276951989708,6,max3sat,0.06446058846407542,optimum_hit_rate,7,fully_quadratized,0.046931406227494955
equal_layer_p1,47.612148267666285,25.8187894166731,6,max3sat,36.71546884216969,encoded_energy_mean,7,fully_quadratized,11.78215874951435
equal_layer_p1,0.9531219908322737,0.7427190234981331,6,max3sat,0.8479205071652034,auxiliary_inconsistency_rate,7,fully_quadratized,0.11375030253249604
equal_layer_p2,14.295639116982311,5.803931131838951,6,max3sat,10.049785124410631,original_objective_mean,7,fully_quadratized,4.590877992674274
equal_layer_p2,0.10751288234739784,0.020263395231022614,6,max3sat,0.06388813878921022,optimum_hit_rate,7,fully_quadratized,0.04716975088821572
equal_layer_p2,51.85104944293101,25.71385970653416,6,max3sat,38.78245457473258,encoded_energy_mean,7,fully_quadratized,14.130567061550977
equal_layer_p2,0.9630161320950449,0.741882696247674,6,max3sat,0.8524494141713594,auxiliary_inconsistency_rate,7,fully_quadratized,0.11955152318618083
equal_2q_budget_128,14.98864516622079,5.497412863229767,6,max3sat,10.243029014725279,original_objective_mean,7,matched_random_selective,5.131251519646436
equal_2q_budget_128,0.12432886936993445,0.013924687522360653,6,max3sat,0.06912677844614755,optimum_hit_rate,7,matched_random_selective,0.05968788960124353
