budget_key,ci95_high,ci95_low,df,dz,family,favorable_direction,losses,mean,metric,n_instances,representation,sd,ties,wins
equal_2q_budget_128,2.9257846225478463,1.1618818459964029,6,2.1432365798337574,cubic_spin_glass,lower,7,2.0438332342721246,original_objective_mean,7,fully_quadratized,0.9536199846078853,0,0
equal_2q_budget_128,0.013883328391672597,-0.230468013779064,6,-0.819751688907723,cubic_spin_glass,higher,7,-0.10829234269369571,optimum_hit_rate,7,fully_quadratized,0.13210383602623582,0,0
equal_2q_budget_128,71.52413495565808,31.948877370057346,6,2.418091033472319,cubic_spin_glass,lower,7,51.736506162857715,encoded_energy_mean,7,fully_quadratized,21.39559902695862,0,0
equal_2q_budget_128,0.9570352644548482,0.8256225547884367,6,12.54584513947106,cubic_spin_glass,lower,7,0.8913289096216425,auxiliary_inconsistency_rate,7,fully_quadratized,0.07104574460411532,0,0
equal_2q_budget_256,3.461532629492886,1.45413481387058,6,2.2647400030824345,cubic_spin_glass,lower,7,2.457833721681733,original_objective_mean,7,fully_quadratized,1.0852608768938101,0,0
equal_2q_budget_256,-0.015901642766852117,-0.2299156593193729,6,-1.0622812952144456,cubic_spin_glass,higher,7,-0.12290865104311251,optimum_hit_rate,7,fully_quadratized,0.1157025465823538,0,0
equal_2q_budget_256,71.34888292097804,29.479706348260656,6,2.2271967047788936,cubic_spin_glass,lower,7,50.414294634619345,encoded_energy_mean,7,fully_quadratized,22.635762044028464,0,0
equal_2q_budget_256,0.9533444341648158,0.8345009581312273,6,13.91310036444644,cubic_spin_glass,lower,7,0.8939226961480216,auxiliary_inconsistency_rate,7,fully_quadratized,0.06425043108524921,0,0
equal_layer_p1,2.56159588190821,1.1121499996634188,6,2.34410149464182,cubic_spin_glass,lower,7,1.8368729407858144,original_objective_mean,7,fully_quadratized,0.7836149351828682,0,0
equal_layer_p1,0.010340396917969508,-0.15244400890906032,6,-0.8073495781300134,cubic_spin_glass,higher,6,-0.0710518059955454,optimum_hit_rate,7,fully_quadratized,0.08800624651358079,1,0
equal_layer_p1,78.4607920797618,26.836492417549334,6,1.8863935494326114,cubic_spin_glass,lower,7,52.64864224865557,encoded_energy_mean,7,fully_quadratized,27.909681023077717,0,0
equal_layer_p1,0.9697861180100533,0.7860959828716045,6,8.840540589314688,cubic_spin_glass,lower,7,0.8779410504408289,auxiliary_inconsistency_rate,7,fully_quadratized,0.09930852548790642,0,0
