auxiliary_inconsistency_rate,budget_key,depth_stratum,depths,draw_count,draw_ids,encoded_energy_mean,family,instance_id,optimum_hit_rate,original_objective_mean,policy,representation,restart_count,statevector_norm,study,zero_depth_draw_count
0.8636115570898468,equal_layer_p1,positive_depth_only,[1],1,"[""""]",23.26201833721909,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.01828795011429031,-0.608242299470798,original_only,fully_quadratized,3,1.0000000000000007,original_e4,0
0.844308266244879,equal_layer_p1,all_scheduled,[1],1,"[""""]",20.596402542768978,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.01872011303132623,-0.42888053119552266,pair,fully_quadratized,3,0.9999999999999997,original_e4,0
0.844308266244879,equal_layer_p1,positive_depth_only,[1],1,"[""""]",20.596402542768978,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.01872011303132623,-0.42888053119552266,pair,fully_quadratized,3,0.9999999999999997,original_e4,0
0.8340763537689027,equal_layer_p1,all_scheduled,[1],1,"[""""]",19.798236187296652,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.014698591532374112,-0.4551356520519196,independence,fully_quadratized,3,0.9999999999999999,original_e4,0
0.8340763537689027,equal_layer_p1,positive_depth_only,[1],1,"[""""]",19.798236187296652,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.014698591532374112,-0.4551356520519196,independence,fully_quadratized,3,0.9999999999999999,original_e4,0
0.9021410108319533,equal_layer_p2,all_scheduled,[2],1,"[""""]",25.870421220489575,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.017310829128239415,-0.38713524128334464,cold,fully_quadratized,3,0.9999999999999996,original_e4,0
0.9021410108319533,equal_layer_p2,positive_depth_only,[2],1,"[""""]",25.870421220489575,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.017310829128239415,-0.38713524128334464,cold,fully_quadratized,3,0.9999999999999996,original_e4,0
0.8765628545217576,equal_layer_p2,all_scheduled,[2],1,"[""""]",23.052428774549778,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.01967223143839661,-0.4870611319069911,original_only,fully_quadratized,3,1.0000000000000002,original_e4,0
0.8765628545217576,equal_layer_p2,positive_depth_only,[2],1,"[""""]",23.052428774549778,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.01967223143839661,-0.4870611319069911,original_only,fully_quadratized,3,1.0000000000000002,original_e4,0
0.9166218411496194,equal_layer_p2,all_scheduled,[2],1,"[""""]",28.959475028112262,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.014390561336969492,-0.5067988769977915,pair,fully_quadratized,3,1.0000000000000002,original_e4,0
0.9166218411496194,equal_layer_p2,positive_depth_only,[2],1,"[""""]",28.959475028112262,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.014390561336969492,-0.5067988769977915,pair,fully_quadratized,3,1.0000000000000002,original_e4,0
0.858961721791081,equal_layer_p2,all_scheduled,[2],1,"[""""]",22.832089038441936,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.019633262396764956,-0.3144676294580446,independence,fully_quadratized,3,0.9999999999999991,original_e4,0
0.858961721791081,equal_layer_p2,positive_depth_only,[2],1,"[""""]",22.832089038441936,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.019633262396764956,-0.3144676294580446,independence,fully_quadratized,3,0.9999999999999991,original_e4,0
0.8655179952973217,equal_2q_budget_128,all_scheduled,[1],1,"[""""]",26.11984025012948,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.025407114012936754,-0.6687427691640684,cold,fully_quadratized,3,0.9999999999999997,original_e4,0
0.8655179952973217,equal_2q_budget_128,positive_depth_only,[1],1,"[""""]",26.11984025012948,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.025407114012936754,-0.6687427691640684,cold,fully_quadratized,3,0.9999999999999997,original_e4,0
0.8642745809250645,equal_2q_budget_128,all_scheduled,[1],1,"[""""]",23.935534981570427,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.01908653419723695,-0.5520870640301666,original_only,fully_quadratized,3,1.0000000000000002,original_e4,0
0.8642745809250645,equal_2q_budget_128,positive_depth_only,[1],1,"[""""]",23.935534981570427,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.01908653419723695,-0.5520870640301666,original_only,fully_quadratized,3,1.0000000000000002,original_e4,0
0.826606637714315,equal_2q_budget_128,all_scheduled,[1],1,"[""""]",21.836141569822146,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.02054296714034483,-0.5832624317947014,pair,fully_quadratized,3,0.9999999999999988,original_e4,0
0.826606637714315,equal_2q_budget_128,positive_depth_only,[1],1,"[""""]",21.836141569822146,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.02054296714034483,-0.5832624317947014,pair,fully_quadratized,3,0.9999999999999988,original_e4,0
0.8695809790086009,equal_2q_budget_128,all_scheduled,[1],1,"[""""]",24.539281864362408,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.018462855052160557,-0.7573627128202168,independence,fully_quadratized,3,1.0,original_e4,0
