actual_2q_gates,budget,design_id,initial_depth_provenance,initial_p_reconstructed,instance_id,noise_level,random_rep_seed,realised_depth_provenance,realised_p,reduction,representation,restart_id,source_row,source_sha256
116,256,design_4b51d6919b57db1b6090,floor(recorded_budget/recorded_per_layer_gates),2,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,,archived_p_column,1,1,fully_quadratized,2,19,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,,archived_p_column,3,0,selective,0,20,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,,archived_p_column,3,0,selective,0,21,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,,archived_p_column,3,0,selective,0,22,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,,archived_p_column,3,0,selective,1,23,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,,archived_p_column,3,0,selective,1,24,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,,archived_p_column,3,0,selective,1,25,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,,archived_p_column,3,0,selective,2,26,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,,archived_p_column,3,0,selective,2,27,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,,archived_p_column,3,0,selective,2,28,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,2026082711,archived_p_column,3,0,matched_random_selective,0,29,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,2026082711,archived_p_column,3,0,matched_random_selective,0,30,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,2026082711,archived_p_column,3,0,matched_random_selective,0,31,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,2026082711,archived_p_column,3,0,matched_random_selective,1,32,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,2026082711,archived_p_column,3,0,matched_random_selective,1,33,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,2026082711,archived_p_column,3,0,matched_random_selective,1,34,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,2026082711,archived_p_column,3,0,matched_random_selective,2,35,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,2026082711,archived_p_column,3,0,matched_random_selective,2,36,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,2026082711,archived_p_column,3,0,matched_random_selective,2,37,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,2026082712,archived_p_column,3,0,matched_random_selective,0,38,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,2026082712,archived_p_column,3,0,matched_random_selective,0,39,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,2026082712,archived_p_column,3,0,matched_random_selective,0,40,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,2026082712,archived_p_column,3,0,matched_random_selective,1,41,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,2026082712,archived_p_column,3,0,matched_random_selective,1,42,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,2026082712,archived_p_column,3,0,matched_random_selective,1,43,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,2026082712,archived_p_column,3,0,matched_random_selective,2,44,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,2026082712,archived_p_column,3,0,matched_random_selective,2,45,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,2026082712,archived_p_column,3,0,matched_random_selective,2,46,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,2026082713,archived_p_column,3,0,matched_random_selective,0,47,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,2026082713,archived_p_column,3,0,matched_random_selective,0,48,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,2026082713,archived_p_column,3,0,matched_random_selective,0,49,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,2026082713,archived_p_column,3,0,matched_random_selective,1,50,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,2026082713,archived_p_column,3,0,matched_random_selective,1,51,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_high,2026082713,archived_p_column,3,0,matched_random_selective,1,52,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,noiseless,2026082713,archived_p_column,3,0,matched_random_selective,2,53,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
223,256,design_e8e67f77c7df82f43ac7,floor(recorded_budget/recorded_per_layer_gates),3,inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,realistic_low,2026082713,archived_p_column,3,0,matched_random_selective,2,54,eeca4da12aedd27f188b848963b293786e4cea91f5f528cacda8e99d7697e202
