auxiliary_inconsistency_rate,budget_key,encoded_energy_mean,family,instance_id,optimum_hit_rate,original_objective_mean,representation
0.0,equal_2q_budget_128,-2.458864113737574,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.0828583288148478,-2.458864113737574,all_native
0.0,equal_2q_budget_256,-2.296676195775209,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.10568883559317704,-2.296676195775209,all_native
0.0,equal_layer_p1,-1.1877767757624538,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.04259074420895221,-1.1877767757624538,all_native
0.0,equal_layer_p2,-1.918695486131406,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.07363794678487383,-1.918695486131406,all_native
0.8228858959117057,equal_2q_budget_128,23.958977030601257,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.029368941268541098,-0.5958882704311005,fully_quadratized
0.8848299597789926,equal_2q_budget_256,24.813842326793083,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.03292474945907279,-0.5769339541698244,fully_quadratized
0.8804081562098585,equal_layer_p1,24.27102745923233,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.013636126020625068,-0.4404822510253655,fully_quadratized
0.9008826475798836,equal_layer_p2,25.77481426269578,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.017291619526103575,-0.386561773752695,fully_quadratized
0.0,equal_2q_budget_128,-2.6267793367188474,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.09571607084857045,-2.6267793367188474,matched_random_selective
0.0,equal_2q_budget_256,-2.070692385536849,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.09003230781944724,-2.070692385536849,matched_random_selective
0.0,equal_layer_p1,-1.892751754964533,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.05981159058405424,-1.892751754964533,matched_random_selective
0.0,equal_layer_p2,-2.262529706398591,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.0730599296043615,-2.262529706398591,matched_random_selective
0.0,equal_2q_budget_128,-2.54994039732512,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.08331642547730574,-2.54994039732512,selective
0.0,equal_2q_budget_256,-1.6296270698406203,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.08112449350436603,-1.6296270698406203,selective
0.0,equal_layer_p1,-1.1916397361527988,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.04481059294437895,-1.1916397361527988,selective
0.0,equal_layer_p2,-2.326790324301376,cubic_spin_glass,inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,0.08069345344693142,-2.326790324301376,selective
0.0,equal_2q_budget_128,-0.8191876936616839,cubic_spin_glass,inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,0.028517201926433883,-0.8191876936616839,all_native
0.0,equal_2q_budget_256,-3.030330515911164,cubic_spin_glass,inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,0.08088257837175333,-3.030330515911164,all_native
0.0,equal_layer_p1,-2.468286960850619,cubic_spin_glass,inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,0.055016592865433506,-2.468286960850619,all_native
0.0,equal_layer_p2,-1.443915452141538,cubic_spin_glass,inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,0.04920318599188402,-1.443915452141538,all_native
0.9787729860929101,equal_2q_budget_128,56.66058792716506,cubic_spin_glass,inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,0.012089002924101833,-0.5764538003561518,fully_quadratized
0.9663392332238692,equal_2q_budget_256,50.955190603746395,cubic_spin_glass,inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,0.01810629231496926,-0.26461005355411293,fully_quadratized
0.9475321214450831,equal_layer_p1,47.88853031383369,cubic_spin_glass,inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,0.017514518244645897,-0.2738330091205468,fully_quadratized
0.9600974845753258,equal_layer_p2,48.68027307995256,cubic_spin_glass,inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,0.023327591563291793,-0.3999095437799462,fully_quadratized
0.0,equal_2q_budget_128,-2.0757985165935757,cubic_spin_glass,inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,0.048607015657461713,-2.0757985165935757,matched_random_selective
0.0,equal_2q_budget_256,-3.28183908938447,cubic_spin_glass,inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,0.089960069355612,-3.28183908938447,matched_random_selective
0.0,equal_layer_p1,-2.133062329237358,cubic_spin_glass,inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,0.05147136870634328,-2.133062329237358,matched_random_selective
0.0,equal_layer_p2,-2.4106989675933845,cubic_spin_glass,inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,0.063986622531778,-2.4106989675933845,matched_random_selective
0.0,equal_2q_budget_128,-1.2071074379041273,cubic_spin_glass,inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,0.025337479842647687,-1.2071074379041273,selective
0.0,equal_2q_budget_256,-2.808322926385511,cubic_spin_glass,inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,0.10353503288905515,-2.808322926385511,selective
0.0,equal_layer_p1,-1.667957948180846,cubic_spin_glass,inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,0.04317249357313632,-1.667957948180846,selective
0.0,equal_layer_p2,-2.3218039259393253,cubic_spin_glass,inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,0.06750430764001211,-2.3218039259393253,selective
0.0,equal_2q_budget_128,-2.310664846749125,cubic_spin_glass,inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,0.38427708363504104,-2.310664846749125,all_native
0.0,equal_2q_budget_256,-2.0443324303391903,cubic_spin_glass,inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,0.46941312661481316,-2.0443324303391903,all_native
0.0,equal_layer_p1,-2.2926901775617083,cubic_spin_glass,inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,0.39981118429233065,-2.2926901775617083,all_native
