budget_key,ci95_high,ci95_low,ci_method,ci_status,ci_unit,contrast,depth_stratum,df,family,mean,metric,multiplicity,n_instances,representation,scope,sd,study,zero_depth_instance_count
equal_layer_p1,0.8804981575219475,0.04171488585764699,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,all_scheduled,6,cubic_spin_glass,0.46110652168979727,original_objective_mean,unadjusted_exploratory,7,all_native,all_designs_diagnostic,0.4534719834035784,original_e4,0
equal_layer_p1,0.8804981575219475,0.04171488585764699,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,all_scheduled,6,cubic_spin_glass,0.46110652168979727,encoded_energy_mean,unadjusted_exploratory,7,all_native,all_designs_diagnostic,0.4534719834035784,original_e4,0
equal_layer_p1,0.045620570806971725,-0.06970868842075278,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,all_scheduled,6,cubic_spin_glass,-0.012044058806890532,optimum_hit_rate,unadjusted_exploratory,7,all_native,all_designs_diagnostic,0.06235053760990207,original_e4,0
equal_layer_p1,0.0,0.0,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,all_scheduled,6,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,unadjusted_exploratory,7,all_native,all_designs_diagnostic,0.0,original_e4,0
equal_layer_p1,6.269469093314279e-16,-3.414609887135305e-16,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,all_scheduled,6,cubic_spin_glass,1.427429603089487e-16,statevector_norm,unadjusted_exploratory,7,all_native,all_designs_diagnostic,5.235510352975821e-16,original_e4,0
equal_layer_p1,0.8804981575219475,0.04171488585764699,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,positive_depth_only,6,cubic_spin_glass,0.46110652168979727,original_objective_mean,unadjusted_exploratory,7,all_native,all_designs_diagnostic,0.4534719834035784,original_e4,0
equal_layer_p1,0.8804981575219475,0.04171488585764699,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,positive_depth_only,6,cubic_spin_glass,0.46110652168979727,encoded_energy_mean,unadjusted_exploratory,7,all_native,all_designs_diagnostic,0.4534719834035784,original_e4,0
equal_layer_p1,0.045620570806971725,-0.06970868842075278,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,positive_depth_only,6,cubic_spin_glass,-0.012044058806890532,optimum_hit_rate,unadjusted_exploratory,7,all_native,all_designs_diagnostic,0.06235053760990207,original_e4,0
equal_layer_p1,0.0,0.0,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,positive_depth_only,6,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,unadjusted_exploratory,7,all_native,all_designs_diagnostic,0.0,original_e4,0
equal_layer_p1,6.269469093314279e-16,-3.414609887135305e-16,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,positive_depth_only,6,cubic_spin_glass,1.427429603089487e-16,statevector_norm,unadjusted_exploratory,7,all_native,all_designs_diagnostic,5.235510352975821e-16,original_e4,0
equal_layer_p2,0.5338878642727469,-0.6010276654399429,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,all_scheduled,6,cubic_spin_glass,-0.033569900583598,original_objective_mean,unadjusted_exploratory,7,all_native,all_designs_diagnostic,0.6135701719863477,original_e4,0
equal_layer_p2,0.5338878642727469,-0.6010276654399429,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,original_only_minus_cold,all_scheduled,6,cubic_spin_glass,-0.033569900583598,encoded_energy_mean,unadjusted_exploratory,7,all_native,all_designs_diagnostic,0.6135701719863477,original_e4,0
