budget_key,change_in_mean,ci95_high,ci95_low,ci_method,ci_status,ci_unit,contrast,depth_stratum,df,family,interpretation,mean,metric,multiplicity,n_instances,old_mean,representation,scope,sd,study,zero_depth_instance_count
equal_2q_budget_128,-0.22222222222222265,,,two_sided_Student_t_95_df_n_minus_1,not_estimable,raw_instance,independence_minus_cold,all_scheduled,0,cubic_spin_glass,unclear,-0.44444444444444536,original_objective_mean,unadjusted_exploratory,1,-0.2222222222222227,selective,primary_selected_active_aux,,original_e4,1
equal_2q_budget_128,-0.22222222222222263,,,two_sided_Student_t_95_df_n_minus_1,not_estimable,raw_instance,original_only_minus_cold,all_scheduled,0,cubic_spin_glass,unclear,-0.44444444444444525,original_objective_mean,unadjusted_exploratory,1,-0.22222222222222263,selective,primary_selected_active_aux,,original_e4,1
equal_2q_budget_128,-0.22222222222222263,,,two_sided_Student_t_95_df_n_minus_1,not_estimable,raw_instance,pair_minus_cold,all_scheduled,0,cubic_spin_glass,unclear,-0.44444444444444525,original_objective_mean,unadjusted_exploratory,1,-0.22222222222222263,selective,primary_selected_active_aux,,original_e4,1
equal_2q_budget_128,1.3010426069826053e-17,,,two_sided_Student_t_95_df_n_minus_1,not_estimable,raw_instance,pair_minus_independence,all_scheduled,0,cubic_spin_glass,unclear,1.1102230246251565e-16,original_objective_mean,unadjusted_exploratory,1,9.80118763926896e-17,selective,primary_selected_active_aux,,original_e4,1
equal_2q_budget_128,0.0,,,two_sided_Student_t_95_df_n_minus_1,not_estimable,raw_instance,pair_minus_original_only,all_scheduled,0,cubic_spin_glass,unclear,0.0,original_objective_mean,unadjusted_exploratory,1,0.0,selective,primary_selected_active_aux,,original_e4,1
equal_2q_budget_256,0.3819445704705315,,,two_sided_Student_t_95_df_n_minus_1,not_estimable,raw_instance,independence_minus_cold,all_scheduled,0,cubic_spin_glass,unclear,0.30716963321641555,original_objective_mean,unadjusted_exploratory,1,-0.07477493725411594,selective,primary_selected_active_aux,,original_e4,0
equal_2q_budget_256,0.2197695206256654,,,two_sided_Student_t_95_df_n_minus_1,not_estimable,raw_instance,original_only_minus_cold,all_scheduled,0,cubic_spin_glass,unclear,0.2896715331144414,original_objective_mean,unadjusted_exploratory,1,0.06990201248877598,selective,primary_selected_active_aux,,original_e4,0
equal_2q_budget_256,0.18729966099586376,,,two_sided_Student_t_95_df_n_minus_1,not_estimable,raw_instance,pair_minus_cold,all_scheduled,0,cubic_spin_glass,unclear,0.2247318138548381,original_objective_mean,unadjusted_exploratory,1,0.03743215285897433,selective,primary_selected_active_aux,,original_e4,0
equal_2q_budget_256,-0.19464490947466773,,,two_sided_Student_t_95_df_n_minus_1,not_estimable,raw_instance,pair_minus_independence,all_scheduled,0,cubic_spin_glass,unclear,-0.08243781936157746,original_objective_mean,unadjusted_exploratory,1,0.11220709011309027,selective,primary_selected_active_aux,,original_e4,0
equal_2q_budget_256,-0.032469859629801645,,,two_sided_Student_t_95_df_n_minus_1,not_estimable,raw_instance,pair_minus_original_only,all_scheduled,0,cubic_spin_glass,unclear,-0.06493971925960329,original_objective_mean,unadjusted_exploratory,1,-0.032469859629801645,selective,primary_selected_active_aux,,original_e4,0
equal_layer_p1,-0.3649333542593398,,,two_sided_Student_t_95_df_n_minus_1,not_estimable,raw_instance,independence_minus_cold,all_scheduled,0,cubic_spin_glass,unclear,-0.6812674151821461,original_objective_mean,unadjusted_exploratory,1,-0.31633406092280625,selective,primary_selected_active_aux,,original_e4,0
equal_layer_p1,-0.6770059604685562,,,two_sided_Student_t_95_df_n_minus_1,not_estimable,raw_instance,original_only_minus_cold,all_scheduled,0,cubic_spin_glass,unclear,-0.7148404028454796,original_objective_mean,unadjusted_exploratory,1,-0.03783444237692335,selective,primary_selected_active_aux,,original_e4,0
equal_layer_p1,-0.642844780602867,,,two_sided_Student_t_95_df_n_minus_1,not_estimable,raw_instance,pair_minus_cold,all_scheduled,0,cubic_spin_glass,unclear,-0.6465180431141011,original_objective_mean,unadjusted_exploratory,1,-0.003673262511234121,selective,primary_selected_active_aux,,original_e4,0
equal_layer_p1,-0.27791142634352717,,,two_sided_Student_t_95_df_n_minus_1,not_estimable,raw_instance,pair_minus_independence,all_scheduled,0,cubic_spin_glass,unclear,0.03474937206804496,original_objective_mean,unadjusted_exploratory,1,0.3126607984115721,selective,primary_selected_active_aux,,original_e4,0
equal_layer_p1,0.03416117986568923,,,two_sided_Student_t_95_df_n_minus_1,not_estimable,raw_instance,pair_minus_original_only,all_scheduled,0,cubic_spin_glass,unclear,0.06832235973137846,original_objective_mean,unadjusted_exploratory,1,0.03416117986568923,selective,primary_selected_active_aux,,original_e4,0
equal_layer_p2,0.2164789810199732,,,two_sided_Student_t_95_df_n_minus_1,not_estimable,raw_instance,independence_minus_cold,all_scheduled,0,cubic_spin_glass,unclear,0.16422320025243198,original_objective_mean,unadjusted_exploratory,1,-0.05225578076754123,selective,primary_selected_active_aux,,original_e4,0
