budget_key,ci95_high,ci95_low,ci_method,ci_status,ci_unit,depth_stratum,df,family,mean,metric,multiplicity,n_instances,policy,representation,scope,sd,study,zero_depth_instance_count
equal_2q_budget_256,-2.110378068093543,-3.777418095784313,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,-2.943898081938928,encoded_energy_mean,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,0.9012530093383164,original_e4,0
equal_2q_budget_256,0.35307715961516595,0.010918218736874319,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,0.18199768917602013,optimum_hit_rate,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,0.18498162612552058,original_e4,0
equal_2q_budget_256,0.0,0.0,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,0.0,original_e4,0
equal_2q_budget_256,1.0000000000000004,0.9999999999999996,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,1.0,statevector_norm,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,5.224287381113247e-16,original_e4,0
equal_2q_budget_256,-1.4915815053018084,-3.983687505815608,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,-2.737634505558708,original_objective_mean,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,1.3473089999310843,original_e4,0
equal_2q_budget_256,-1.4915815053018084,-3.983687505815608,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,-2.737634505558708,encoded_energy_mean,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,1.3473089999310843,original_e4,0
equal_2q_budget_256,0.3164898550027125,0.05443544290242658,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,0.18546264895256953,optimum_hit_rate,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,0.14167465903198823,original_e4,0
equal_2q_budget_256,0.0,0.0,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,0.0,auxiliary_inconsistency_rate,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,0.0,original_e4,0
equal_2q_budget_256,1.000000000000001,0.9999999999999999,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,all_scheduled,6,cubic_spin_glass,1.0000000000000004,statevector_norm,unadjusted_exploratory,7,original_only,all_native,all_designs_diagnostic,6.441845274070438e-16,original_e4,0
equal_2q_budget_256,-2.110378068093543,-3.777418095784313,two_sided_Student_t_95_df_n_minus_1,estimated,raw_instance,positive_depth_only,6,cubic_spin_glass,-2.943898081938928,original_objective_mean,unadjusted_exploratory,7,cold,all_native,all_designs_diagnostic,0.9012530093383164,original_e4,0
