instance_id,candidate_id,topology,synthesis,seed,task_id,repetition,input_hash,semantic
max3sat_003,041fbd5e2bbf1f4b3e3f0a82,line12,canonical,1729,23eb67a7c347eae650ab79d9,repeat_a,5313c23dcf75d70259558eb2626d619f64afaf54c049c1229c72c9d011139d13,False
max3sat_003,fa70386b014a8145bfaab298,line12,canonical,1729,0041c34843941b6b2ab1c000,repeat_a,72ea8c14d561462fdeaca949a2f91c89008f77321ea4e09ae898a93d3a8a6122,False
max3sat_003,dd85e418bfbd79f4e8bbb64c,line12,canonical,1729,6d69845ead56817b8b0d07d6,repeat_a,60b2de39751c340136b0fbb60fd29109647e7847e5ad08abbb7f51ac23975c5d,False
max3sat_003,ac7dc78a6a096ce0fc8137b5,line12,canonical,1729,b8a3d319cf67da1de7b9341c,repeat_a,7d9d252bde452d1513525ca802db9e72e8e43f0ee4d90f9f05f35de798fa8f0f,False
max3sat_003,ae5ca853305a4eae1e1b209b,line12,canonical,1729,7b054207c615ea08e3b001f0,repeat_a,e54f49f3aded04398a3c87a31a9f92964efd29f3849bcf283d65bd71d457c7b1,False
max3sat_003,7a3e9cb17828cf49493d57b9,line12,canonical,1729,ce7316224bbfadad139cacfb,repeat_a,2a623afb086a87fbd86aaac6b89ce999ba19fc1e2235fddd00d9237595ea4363,True
max3sat_003,3262a21feff4f1ea021e5572,line12,canonical,1729,c09fb758a2f49f676191c8ba,repeat_a,45a4a1340cf026f1fad7dec4b1424bc206b1444ba3afc3262c6405d095b89693,True
max3sat_003,a72c147c95883224b7da698e,line12,canonical,1729,ddc7c59bc1a0953e5776d91e,repeat_a,d48252509741f2f7a54888fff4a37412431f0b7821b9a2b73ff9470b2291572b,False
max3sat_003,d4a86b266c813073b542df97,line12,canonical,1729,16e2a98097872eb4532105b6,repeat_a,5ca817ff96d77eff480ef62a17525d0f50984408b7b05a4113874b56f96b1bc9,False
max3sat_003,99ed2dcfbdfa131a26805a3c,line12,canonical,1729,44e9a3b202f72c626e54fbb7,repeat_a,31fbf493cf677473ae9fb3a5a21b457dd1bd98faf4d12b089dfa492dc5146660,False
max3sat_003,5e0c50742cef4f006664def4,line12,canonical,1729,e2bd559b6d4c7a172c76f089,repeat_a,ad50ae3cec7852debfe111ff817bbaccd4e5728e1a8de096f6441a2e4da524f0,False
max3sat_003,e065d921ecd9838a4c8fcd8f,line12,canonical,1729,e75ebf2dd78aa9c5dad1b0f4,repeat_a,3d97c3aefafdeb444c4105af0ec783998a648c080ad5521500d558ef578b90a9,False
max3sat_003,5feb82ba14b036aaa2be28cd,line12,canonical,1729,72edf22d69a9921f67ec0957,repeat_a,1a287a16e03ba92df9ab35867f8d0c33ed68f159d1eb1e0171a2c0fd793fc255,False
max3sat_003,2e6d06f58be5e5eab03969ab,line12,canonical,1729,ceebd3ef3c4590f9953aab25,repeat_a,12798d3fb3b97be7db4bd1930b4c71f64c7b8344f9e35e52605cfbf08fb850a7,False
max3sat_003,f1c750f16c66f31ea4bff8af,line12,canonical,1729,06f583988c82b2f232089415,repeat_a,db7f03136de7e2069c142f0f2d7b2260848c8e79cd7255da18ffeeef671822c2,False
max3sat_003,6d12bc35527b46efe441b4a3,line12,canonical,1729,16e54c13f5e391963ed2b214,repeat_a,2a0704ffc4a571d51df9325532d6e3dc4d8d136c8510cadbd08617eda00020fb,False
max3sat_003,35fb865074f134dcad219984,line12,canonical,1729,5f84d4cf64817bbe34eaf676,repeat_a,6da175c90392052046e93c94ba64e8c5f86075b8e0a3122452198f650fe66e53,False
max3sat_003,f304cab29be3520296300ee9,line12,canonical,1729,e92165d54a0695817ef6d224,repeat_a,8b5415d5e5df3909a32c1aeff8753b120d36dc06ad98fe69504b6fa626c3bb36,False
max3sat_003,7873f8bc1470d574cccab42a,line12,canonical,1729,d10ce0d52f9b9bfff9366c53,repeat_a,6cf56c59bd39ad67319734b84bc0f273521b34fbe6facf755a88482b2993ed05,False
max3sat_003,9a6657faee11a8934ed8dda2,line12,canonical,1729,54c7669341e24a6e6068c63a,repeat_a,89c0578a38b1e2c5e57bc10ffba93f1a6be2e0aa3ec0193324ba91a49a45b39a,False
max3sat_003,926ba982c586030cb2632fe4,line12,canonical,1729,26b931c7bcdbb8b777945b27,repeat_a,146b169541f15a4bb159a793c4a06aff62e3aecd0e517abae6f462b32ccc752b,False
max3sat_003,8d8f0c3c28343f9c13a2a01b,line12,canonical,1729,cf591518800a61047035c4ed,repeat_a,786f573121ce3b8cadf1361634e592ed2607198b926502cad67fdbf078104822,False
max3sat_003,491de09874ea95ffb40c3a8f,line12,canonical,1729,357fd27251d0d02ef797f0e4,repeat_a,dcb626d9c295394e47dac2627f2cae60a10c162c6d84f090b9917c73fb1007ff,False
max3sat_003,ea0fdb8442f6ca1fdec53ed3,line12,canonical,1729,8445a2b33b46ceb2aeceef2d,repeat_a,2654c0de56a128f31ce8fdc4d2877432e684f9e8536aa41c93ba6022c551fbb7,False
max3sat_003,0775c27673a26e17879e44a7,line12,canonical,1729,e53b22847b8405f694742c3b,repeat_a,1847ae4d18029083873cf1d3d315a8b3083fc74eb6795abe8ccbc76394a30bfb,False
max3sat_003,24dfacab3cb19b1f16d06b38,line12,canonical,1729,985e69c1978a5bb48401360d,repeat_a,3628baabf3283cfefa2c80986a391e3ebf0a51a57ddc03a037a79be1874e4149,False
max3sat_003,d2d9189defcd46d935e8aa62,line12,canonical,1729,d4dfb821866454b4ce2a4f00,repeat_a,b93f68ea211157f177ed995e22b8e27b28e7ee2c1e42a09e84aadee29b662f3e,False
max3sat_003,c03e5a55b7178d472a6786b2,line12,canonical,1729,3b178f7932717bed9b4a7037,repeat_a,136b40f7165c327300b9a8bdaaf0e22981ac8d9b50e69f58c00276f895df8f74,False
max3sat_003,bd5961ec0b8531a801234c3f,line12,canonical,1729,f94e8f4e2e3ba3631f33c06c,repeat_a,07c720befbf1cfebfc4ed8f3521c5a9dca358299b49619cd20f17302bafff1af,False
max3sat_003,a89ca78b93f312a83c63187d,line12,canonical,1729,835bba44fa074b50a170361b,repeat_a,c58e940bfd99944e8a8fca60e79d047106f02f1ab224afec9499d78faf22e47a,False
max3sat_003,ea38d4d856203305acbc1ca2,line12,canonical,1729,7d970c16533d3ce82e02c1b0,repeat_a,c08f330e1950e383e7a28fe91b79ae34a528da335a790808aba1e1211af5a229,False
max3sat_003,99bb3240ec649533c1c40474,line12,canonical,1729,607f9e001c84b748541231d1,repeat_a,1b3ff0eb5eddd98fda48cf963bcc09404e009cbc1cdf4d012daaab12e3fbe756,False
max3sat_003,548b4f205dd13bfa4204ae0e,line12,canonical,1729,8671d5fa8c7ebe29f6157eb6,repeat_a,bd4d91ad66101edad7afcb4bebba9e0192c4576760686aa0df8ab557ba44b15d,False
max3sat_003,04d97f416bffc528637af0ba,line12,canonical,1729,dab861e36bb6eb31c4b493c3,repeat_a,47d34c022a7662db8cd0f12281acca18cf45adb76088b5fac39662e179597e18,False
max3sat_003,ccd9c91a36665d5b641227c0,line12,reuse,1729,98ecc33a1de6375fa5bc0924,repeat_a,185915368c96757a9aa903aaf34d66342afeb6bd14b89adf4bcd3ba71fe62d57,False
max3sat_003,4874427bec10aa3a971dec04,line12,reuse,1729,785b374f1ad3e8dfa6599637,repeat_a,1d59480427d1e436c41f9b034fa78a994baa55f991a344b48f32e1ea95985447,False
max3sat_003,3949c697eb13d24beac1e70c,line12,reuse,1729,6d1d026f5d0208e8bbbbd02b,repeat_a,43aad72a057fb5c9a2fe14b5e6e3b5f47bbc04d8395a39a51df8a7550bd071a0,False
max3sat_003,c67f4f09d1e16e2abc529f71,line12,reuse,1729,996fc892b198718be819ddee,repeat_a,040dbf37b333b5420bc64973bfe9a6973011528ac3fe6241b9989a6464a0e96a,False
max3sat_003,99ee223e915f9fdf97487fcf,line12,reuse,1729,638fc9510c461a2227dfd8ff,repeat_a,a0181057a2227b2049f85cf7a5a3b10f8e8962763641d1bb664c5dbcf6d63fe5,False
max3sat_003,efff8d2353f2ffddbe53d1f2,line12,reuse,1729,a5a7f0fa542e6559d5b7d89b,repeat_a,72c1e4f773b0a3a9d56c9f1f98c81bea7ab3d07d32b75bdf69b77edd2e32fd2d,False
max3sat_003,1a9687fb444b6301cce15dae,line12,reuse,1729,739f12964117d88360213a25,repeat_a,fba72ec7276137c3eda17d82bcfd2042d552cc461f101b8d19573fba9bc4fb54,False
max3sat_003,9c7337c50280e2d158157793,line12,reuse,1729,8c413acdd237b03428629a3f,repeat_a,6dd2c3bed9134a8d82694f21c916b4d15363f234fdd5b38b16a5e00ffedeaf67,False
max3sat_003,3b8fd377e3a87a4da6d96295,line12,reuse,1729,efafd8886565a3fac278cb19,repeat_a,d79c51cbb74c2ce6e35c6e887aa09fa067cbf29368089de7f08a59c167a8e436,False
max3sat_003,e0cd25b77abd7601f26da57a,line12,reuse,1729,6002b5a8a77fdeeb21dd60ba,repeat_a,dc854de9c2a4980d2d0e4d2cd272f03234337eef7fab282a0d9364a3a9ea128d,False
max3sat_003,a09cbbbb66d76fa473956800,line12,reuse,1729,f98526473f3bbd9724025bdb,repeat_a,a64860ee93de5ea2bdc8a93d25221f4baac7f09f865915fc950d7ec04171fc5f,False
max3sat_003,d49d29c58a71e1556b5eadc3,line12,reuse,1729,7256b50d50f06e7c1b5c50bf,repeat_a,ea43e137acc32099d46f3c77d35c91b3e7ad2deb74af38b956b7f6d84d178a65,False
max3sat_003,bc9b4ed1c9d8e8cfc35785ae,line12,reuse,1729,6b4d8bf1bdec480da2b13687,repeat_a,d6bcfdd8015c34d8b69e9790cdc042232f5900653ea48b36e18ac498ab3e0973,False
max3sat_003,7671679958228b22568833d8,line12,reuse,1729,21f6f029835c0e2d0f7ad85c,repeat_a,a418de0742e172f745d1ad68834b5f9c683ed532b812c5a7b1a39b26a3a94a35,False
max3sat_003,36d75bd79e725b4c30e253cb,line12,reuse,1729,691565c918da50e7fc472e4a,repeat_a,d99a4b5df7668b7301dcdb5f0dd208ba5726da3d0e94783f22f261671efab4d5,False
max3sat_003,12aa5c8b8352afbfe36c7f6c,line12,reuse,1729,9a639d0cb71c2e85b4546485,repeat_a,6d7f6b920154eab13643888c18e01670a6f3408a8321436941d363bb4f3d62d0,False
max3sat_003,e32946d7bc2f3f8423676bb9,line12,reuse,1729,bc2ccca46b4e245dd079f544,repeat_a,925340a1f097b384956c8393363339d0718866180ba00713bcd6d9f70fbbdb20,False
max3sat_003,7e7d48dd4f0fa268ef22a914,line12,reuse,1729,97f387a2f4760a85f952a445,repeat_a,3641414aa397c73dc27d7eccc05df83b211bfa6a04bcbc68753d73d1486d9e21,False
max3sat_003,f28b46dc7dfda9a1ec8a5c3e,line12,reuse,1729,494dc95a0b25d03d6eb123b4,repeat_a,e273d72f45e3abec2199b8a490acf1ebaf5116e2b23e417d0db90d00ee846725,False
max3sat_003,c0a059b1b452721431fdecfb,line12,reuse,1729,2a818b0af9a8bb8b898fa8fe,repeat_a,18b09889994f0140a46a809a80d963ef4610851e01789f1fa16a00844e4e92ed,False
max3sat_003,40645f998b446c13c80dffd2,line12,reuse,1729,4a814da1d754c8429593b446,repeat_a,e7c3d4f9b86f57342ab8cf3e13ca3f7839ada762aedfeffe587755b770996938,False
max3sat_003,27073ac538fb21bdaecfa07e,line12,reuse,1729,6bb6e946a9e3510fff741830,repeat_a,8519ead56f6144dc1986ff5e435a7a8803e76edd37e2c7a3c129b734bbbf087f,False
max3sat_003,e46d5148c932bf1ef226bfc1,line12,reuse,1729,c9d7a0f15da630b7a4f68ce0,repeat_a,0cdeb70423cbb975833c017aaf1421e8917c6d31741849dfaa36d723ec920004,False
max3sat_003,b237eaea1b40366e83c67f2d,line12,reuse,1729,0d404bd589b68fa199f2516e,repeat_a,222b7bb14bcd7dc0721c1cc648d85a7ad11061752e59cee9b66ca831ee71dcc5,False
max3sat_003,555fa15f715b6c48024a7d3e,line12,reuse,1729,44af1df7841fda2bd09fed89,repeat_a,5a81f6f34be1c2ad67517b004ae747258cf28d90a533ced47e11ed84e436b482,False
max3sat_003,93fc4cfd018374c6b407e712,line12,reuse,1729,c769e4beb31d6a26efaf71c4,repeat_a,5d7e71052e9a76652958722cc107ee1814f7858904227e6f8ccf061ac549d7fd,False
