instance_id,family,split,representation,random_rep_seed,design_id,n_original,n_aux,n_qubits,retained_cubic,quadratic_couplings,M_max,coefficient_dynamic_range,topology_id,topology_capacity,transpiler_seed,two_qubit_gates,two_qubit_depth,swap_count,swap_count_method,routing_overhead,compile_runtime_sec,status,failure_kind,failure_message,compiler_protocol_id,qiskit_version,config_hash,manifest_hash,code_commit,common_feasible_cohort_id
inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9,max3sat,train,selective,,design_574fee1a0aba0d9a42e3,8,0,8,8,15,0.0,135.0,device_sparse_v1,12,2026082721,99,82,13,routing_pass_callback,33,0.005939099995885044,pass,,,compiler_d2b3b8844e9b97c1d3d3fd40,2.4.2,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337,sparse_common_feasible_9f8fccc5aaf5b9bb
inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9,max3sat,train,selective,,design_574fee1a0aba0d9a42e3,8,0,8,8,15,0.0,135.0,device_sparse_v1,12,2026082722,98,82,12,routing_pass_callback,32,0.006059000006644055,pass,,,compiler_d2b3b8844e9b97c1d3d3fd40,2.4.2,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337,sparse_common_feasible_9f8fccc5aaf5b9bb
inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9,max3sat,train,selective,,design_574fee1a0aba0d9a42e3,8,0,8,8,15,0.0,135.0,device_sparse_v1,12,2026082723,104,90,14,routing_pass_callback,38,0.005979300010949373,pass,,,compiler_d2b3b8844e9b97c1d3d3fd40,2.4.2,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337,sparse_common_feasible_9f8fccc5aaf5b9bb
inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9,max3sat,train,selective,,design_574fee1a0aba0d9a42e3,8,0,8,8,15,0.0,135.0,device_sparse_v1,12,2026082724,98,82,12,routing_pass_callback,32,0.0063885999988997355,pass,,,compiler_d2b3b8844e9b97c1d3d3fd40,2.4.2,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337,sparse_common_feasible_9f8fccc5aaf5b9bb
inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9,max3sat,train,selective,,design_574fee1a0aba0d9a42e3,8,0,8,8,15,0.0,135.0,device_sparse_v1,12,2026082725,105,84,15,routing_pass_callback,39,0.00604870000097435,pass,,,compiler_d2b3b8844e9b97c1d3d3fd40,2.4.2,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337,sparse_common_feasible_9f8fccc5aaf5b9bb
inst_1b8063bafe8fb16b92612498609bbac8bbb284b59e73fc2d63cadf82b323441f,max3sat,train,all_native,,design_37a06e5154de9ef5fdb0,8,0,8,7,16,0.0,53.0,device_sparse_v1,12,2026082721,84,60,10,routing_pass_callback,22,0.00606349999725353,pass,,,compiler_d2b3b8844e9b97c1d3d3fd40,2.4.2,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337,sparse_common_feasible_9f8fccc5aaf5b9bb
inst_1b8063bafe8fb16b92612498609bbac8bbb284b59e73fc2d63cadf82b323441f,max3sat,train,all_native,,design_37a06e5154de9ef5fdb0,8,0,8,7,16,0.0,53.0,device_sparse_v1,12,2026082722,91,53,13,routing_pass_callback,29,0.0056742999877315015,pass,,,compiler_d2b3b8844e9b97c1d3d3fd40,2.4.2,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337,sparse_common_feasible_9f8fccc5aaf5b9bb
inst_1b8063bafe8fb16b92612498609bbac8bbb284b59e73fc2d63cadf82b323441f,max3sat,train,all_native,,design_37a06e5154de9ef5fdb0,8,0,8,7,16,0.0,53.0,device_sparse_v1,12,2026082723,92,73,12,routing_pass_callback,30,0.00745400000596419,pass,,,compiler_d2b3b8844e9b97c1d3d3fd40,2.4.2,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337,sparse_common_feasible_9f8fccc5aaf5b9bb
inst_1b8063bafe8fb16b92612498609bbac8bbb284b59e73fc2d63cadf82b323441f,max3sat,train,all_native,,design_37a06e5154de9ef5fdb0,8,0,8,7,16,0.0,53.0,device_sparse_v1,12,2026082724,95,75,13,routing_pass_callback,33,0.005214299992076121,pass,,,compiler_d2b3b8844e9b97c1d3d3fd40,2.4.2,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337,sparse_common_feasible_9f8fccc5aaf5b9bb
inst_1b8063bafe8fb16b92612498609bbac8bbb284b59e73fc2d63cadf82b323441f,max3sat,train,all_native,,design_37a06e5154de9ef5fdb0,8,0,8,7,16,0.0,53.0,device_sparse_v1,12,2026082725,75,50,7,routing_pass_callback,13,0.007707899989327416,pass,,,compiler_d2b3b8844e9b97c1d3d3fd40,2.4.2,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337,sparse_common_feasible_9f8fccc5aaf5b9bb
