family,representation,topology_id,scheduled_row_count,success_row_count,infeasible_width_row_count,other_failure_row_count,success_rate,infeasible_width_rate,scheduled_design_count,successful_design_count,scheduled_instance_count,successful_instance_count,config_hash,manifest_hash,code_commit
cubic_spin_glass,all_native,device_sparse_v1,450,270,180,0,0.6,0.4,90,54,90,54,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
cubic_spin_glass,fully_quadratized,device_sparse_v1,450,45,405,0,0.1,0.9,90,9,90,9,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
cubic_spin_glass,matched_random_selective,device_sparse_v1,2250,1350,900,0,0.6,0.4,450,270,90,54,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
cubic_spin_glass,selective,device_sparse_v1,450,270,180,0,0.6,0.4,90,54,90,54,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
max3sat,all_native,device_sparse_v1,450,270,180,0,0.6,0.4,90,54,90,54,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
max3sat,fully_quadratized,device_sparse_v1,450,60,390,0,0.13333333333333333,0.8666666666666667,90,12,90,12,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
max3sat,matched_random_selective,device_sparse_v1,2250,1025,1225,0,0.45555555555555555,0.5444444444444444,450,205,90,41,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
max3sat,selective,device_sparse_v1,450,205,245,0,0.45555555555555555,0.5444444444444444,90,41,90,41,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
