instance_id,family,representation,common_feasible_cohort_id,transpiler_seed_count,two_qubit_gates_mean,two_qubit_depth_mean,swap_count_mean,routing_overhead_mean,compile_runtime_sec_mean,config_hash,manifest_hash,code_commit
inst_351b2f1044631455ab325f3efabb01e0e041402aa854cb63ffe41759af6edb31,max3sat,fully_quadratized,sparse_common_feasible_9f8fccc5aaf5b9bb,5,89.6,59.8,11.6,31.6,0.010480820000520908,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_351b2f1044631455ab325f3efabb01e0e041402aa854cb63ffe41759af6edb31,max3sat,selective,sparse_common_feasible_9f8fccc5aaf5b9bb,5,133.4,101.2,20.6,55.4,0.011204259999794885,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_44d41ee19adf16187d2472123669bbf847d64335b452c13d07c64d022afdbd6a,max3sat,all_native,sparse_common_feasible_9f8fccc5aaf5b9bb,5,139.6,106.0,20.4,57.6,0.012986420001834632,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_44d41ee19adf16187d2472123669bbf847d64335b452c13d07c64d022afdbd6a,max3sat,fully_quadratized,sparse_common_feasible_9f8fccc5aaf5b9bb,5,96.8,65.2,12.8,36.8,0.01122845999780111,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_44d41ee19adf16187d2472123669bbf847d64335b452c13d07c64d022afdbd6a,max3sat,selective,sparse_common_feasible_9f8fccc5aaf5b9bb,5,139.6,106.0,20.4,57.6,0.012934139999561011,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_4a5cdf12000be45c6e4eed5c6e54361319ac9cc9ed9744d18b2b715e8842bdac,max3sat,all_native,sparse_common_feasible_9f8fccc5aaf5b9bb,5,119.8,93.2,17.8,45.8,0.013433139998232946,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_4a5cdf12000be45c6e4eed5c6e54361319ac9cc9ed9744d18b2b715e8842bdac,max3sat,fully_quadratized,sparse_common_feasible_9f8fccc5aaf5b9bb,5,109.4,71.6,15.4,43.4,0.01150797999871429,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_4a5cdf12000be45c6e4eed5c6e54361319ac9cc9ed9744d18b2b715e8842bdac,max3sat,selective,sparse_common_feasible_9f8fccc5aaf5b9bb,5,119.8,93.2,17.8,45.8,0.011584199997014367,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_53dec71c3e2fae0bd3971cba514a32e1708dd7cd2ca9764224bca5022a248a7e,cubic_spin_glass,all_native,sparse_common_feasible_9f8fccc5aaf5b9bb,5,35.0,31.0,3.0,3.0,0.005452340000192635,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_53dec71c3e2fae0bd3971cba514a32e1708dd7cd2ca9764224bca5022a248a7e,cubic_spin_glass,fully_quadratized,sparse_common_feasible_9f8fccc5aaf5b9bb,5,89.0,58.6,12.2,33.0,0.0055330400005914274,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
