family,representation,common_feasible_cohort_id,common_instance_count,two_qubit_gates_mean,two_qubit_gates_ci95_low,two_qubit_gates_ci95_high,two_qubit_gates_paired_delta_vs_native_mean,two_qubit_depth_mean,two_qubit_depth_ci95_low,two_qubit_depth_ci95_high,two_qubit_depth_paired_delta_vs_native_mean,swap_count_mean,swap_count_ci95_low,swap_count_ci95_high,swap_count_paired_delta_vs_native_mean,config_hash,manifest_hash,code_commit
cubic_spin_glass,all_native,sparse_common_feasible_9f8fccc5aaf5b9bb,9,61.044444444444444,41.7071266736702,80.38176221521869,0.0,50.46666666666667,35.102911338695,65.83042199463834,0.0,7.800000000000001,4.352776576238011,11.24722342376199,0.0,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
cubic_spin_glass,fully_quadratized,sparse_common_feasible_9f8fccc5aaf5b9bb,9,107.33333333333333,87.05177880163576,127.6148878650309,46.28888888888889,66.51111111111112,54.61073615696019,78.41148606526205,16.04444444444444,14.799999999999999,11.407696030391405,18.19230396960859,7.0,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
cubic_spin_glass,selective,sparse_common_feasible_9f8fccc5aaf5b9bb,9,61.044444444444444,41.7071266736702,80.38176221521869,0.0,50.46666666666667,35.102911338695,65.83042199463834,0.0,7.800000000000001,4.352776576238011,11.24722342376199,0.0,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
max3sat,all_native,sparse_common_feasible_9f8fccc5aaf5b9bb,12,115.13333333333333,103.30480103540083,126.96186563126582,0.0,90.10000000000001,81.70909927181218,98.49090072818784,0.0,16.133333333333333,13.889578399740941,18.377088266925725,0.0,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
max3sat,fully_quadratized,sparse_common_feasible_9f8fccc5aaf5b9bb,12,94.73333333333333,88.86317456549784,100.60349210116883,-20.399999999999995,60.6,56.784439768685615,64.41556023131439,-29.500000000000004,12.6,11.582125804046552,13.617874195953448,-3.533333333333333,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
max3sat,selective,sparse_common_feasible_9f8fccc5aaf5b9bb,12,113.05,101.01465350676926,125.08534649323073,-2.0833333333333335,87.3,77.7841622289549,96.8158377710451,-2.8000000000000003,15.916666666666666,13.641931126482318,18.191402206851013,-0.21666666666666648,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
