instance_id,family,source_tier,split,comparison,metric,budget_mode,budget_key,topology_id,canonical_cubic_sparsity,sparsity_bin,pair_reuse_score,pair_reuse_bin,sign_balance_diagnostic,n_original_diagnostic,selected_observation_count,control_observation_count,paired_observation_count,selected_mean,control_mean,effect,effect_ci95_low,effect_ci95_high,effect_tolerance,classification,uncertainty_rule,status,failure_kind,config_hash,manifest_hash,analysis_config_hash,code_commit
inst_29626af5a49c14ecc2c2040c11341eeaa8dded055a83fdf07387d51f5846dda9,cubic_spin_glass,compilation,test,selective_vs_matched_random_selective,compiled_two_qubit_gates,not_applicable,not_applicable,all_to_all_reference,0.11428571428571428,intermediate,0.5208333333333333,high,0.390625,16,5,25,5,256.0,256.0,0.0,0.0,0.0,0.05,little_effect,paired_normal_interval_by_transpiler_seed,pass,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
inst_29626af5a49c14ecc2c2040c11341eeaa8dded055a83fdf07387d51f5846dda9,cubic_spin_glass,compilation,test,selective_vs_matched_random_selective,compiled_two_qubit_gates,not_applicable,not_applicable,device_sparse_v1,0.11428571428571428,intermediate,0.5208333333333333,high,0.390625,16,5,25,0,,,,,,0.05,not_estimable,not_estimable_expected_width_infeasible,expected_infeasible,width_exceeds_frozen_sparse_topology,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
inst_29626af5a49c14ecc2c2040c11341eeaa8dded055a83fdf07387d51f5846dda9,cubic_spin_glass,compilation,test,selective_vs_matched_random_selective,routing_overhead,not_applicable,not_applicable,all_to_all_reference,0.11428571428571428,intermediate,0.5208333333333333,high,0.390625,16,5,25,5,0.0,0.0,0.0,0.0,0.0,0.05,little_effect,paired_normal_interval_by_transpiler_seed,pass,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
inst_29626af5a49c14ecc2c2040c11341eeaa8dded055a83fdf07387d51f5846dda9,cubic_spin_glass,compilation,test,selective_vs_matched_random_selective,routing_overhead,not_applicable,not_applicable,device_sparse_v1,0.11428571428571428,intermediate,0.5208333333333333,high,0.390625,16,5,25,0,,,,,,0.05,not_estimable,not_estimable_expected_width_infeasible,expected_infeasible,width_exceeds_frozen_sparse_topology,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,cubic_spin_glass,compilation,test,selective_vs_matched_random_selective,compiled_two_qubit_depth,not_applicable,not_applicable,all_to_all_reference,0.10909090909090909,intermediate,0.45833333333333337,intermediate,0.625,12,5,25,5,77.0,77.0,0.0,0.0,0.0,0.05,little_effect,paired_normal_interval_by_transpiler_seed,pass,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,cubic_spin_glass,compilation,test,selective_vs_matched_random_selective,compiled_two_qubit_depth,not_applicable,not_applicable,device_sparse_v1,0.10909090909090909,intermediate,0.45833333333333337,intermediate,0.625,12,5,25,5,109.8,109.8,0.0,0.0,0.0,0.05,little_effect,paired_normal_interval_by_transpiler_seed,pass,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,cubic_spin_glass,compilation,test,selective_vs_matched_random_selective,compiled_two_qubit_gates,not_applicable,not_applicable,all_to_all_reference,0.10909090909090909,intermediate,0.45833333333333337,intermediate,0.625,12,5,25,5,96.0,96.0,0.0,0.0,0.0,0.05,little_effect,paired_normal_interval_by_transpiler_seed,pass,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,cubic_spin_glass,compilation,test,selective_vs_matched_random_selective,compiled_two_qubit_gates,not_applicable,not_applicable,device_sparse_v1,0.10909090909090909,intermediate,0.45833333333333337,intermediate,0.625,12,5,25,5,143.4,143.4,0.0,0.0,0.0,0.05,little_effect,paired_normal_interval_by_transpiler_seed,pass,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,cubic_spin_glass,compilation,test,selective_vs_matched_random_selective,routing_overhead,not_applicable,not_applicable,all_to_all_reference,0.10909090909090909,intermediate,0.45833333333333337,intermediate,0.625,12,5,25,5,0.0,0.0,0.0,0.0,0.0,0.05,little_effect,paired_normal_interval_by_transpiler_seed,pass,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
inst_532ca52e0bd47ef393cd0da8c1c69dadce16850b3ef6b9be0dad7c95b2678c55,cubic_spin_glass,compilation,test,selective_vs_matched_random_selective,routing_overhead,not_applicable,not_applicable,device_sparse_v1,0.10909090909090909,intermediate,0.45833333333333337,intermediate,0.625,12,5,25,5,47.4,47.4,0.0,0.0,0.0,0.05,little_effect,paired_normal_interval_by_transpiler_seed,pass,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
