instance_id,family,split,representation,random_rep_seed,design_id,budget_mode,budget_key,p,compiled_2q_budget,compiled_2q_gates_per_layer,actual_2q_gates,optimizer,optimizer_seed,restart_id,evaluation_budget,evaluations,shots,circuit_seed,measurement_seed,initial_parameters_sha256,optimized_parameters_json,original_objective_mean,original_objective_best,optimum_hit_rate,encoded_energy_mean,auxiliary_inconsistency_rate,statevector_norm,optimizer_runtime_sec,optimizer_terminated_early,optimizer_message,initialization_seed,objective_scoring,encoded_energy_role,status,failure_kind,failure_message,config_hash,manifest_hash,e2_summary_hash,code_commit
inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,cubic_spin_glass,test,all_native,,design_abc223721d7e256793a8,equal_compiled_two_qubit_gates,equal_2q_budget_256,9,256,28,252,COBYLA,2026082732,1,60,60,0,2026082742,2026082752,3259fd1ccd1d3d51ddfd1fb99bd95bf1051c0144bad686668ada9297dbe5eca7,"[7.0550948418855155,0.36684152267427167,0.8533908230338492,5.959508726658061,0.5985155978113736,3.0079920861403333,1.423962755531111,1.7796282658934366,4.691091033315012,0.6047094298326234,0.16024315655932772,1.1775344931118232,0.9875468008383652,1.2221901312890637,2.8380392251118622,2.661716576206582,-0.01371100693258151,0.2495441062820698]",-2.169856587925619,-6.0,0.14515889569757226,-2.169856587925619,0.0,1.0000000000000004,0.0922471000085352,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,14375340577085079599,original_family_objective_projected_from_statevector,diagnostic_only,pass,,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,39cf03e08fc00329137ac510e7dd3ae506f3c1963f14e4135db56b009682c88a,62d74e366b6d82534156c3e137a8315981034aba
inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,cubic_spin_glass,test,all_native,,design_abc223721d7e256793a8,equal_compiled_two_qubit_gates,equal_2q_budget_256,9,256,28,252,COBYLA,2026082733,2,60,60,0,2026082743,2026082753,32f5aa1cb62e56b8e1573ea47088c9c86e629a71fe3ae41502f1f149a3852d34,"[4.55162116260555,5.508769467540293,5.042238404102435,2.6797908954038023,1.6118648890327527,0.15222618261701934,1.0015286572968105,2.613004357337891,4.615655037288602,1.1916281399298811,1.3383116674590574,2.2177845345755864,0.6226856965664732,0.6478370453795177,0.8797590250408882,1.149277690712916,2.2110641834219797,3.1254609451709485]",-1.5723999378177105,-6.0,0.012116725785469705,-1.5723999378177105,0.0,0.9999999999999998,0.10959759999241214,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,3587651435207676391,original_family_objective_projected_from_statevector,diagnostic_only,pass,,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,39cf03e08fc00329137ac510e7dd3ae506f3c1963f14e4135db56b009682c88a,62d74e366b6d82534156c3e137a8315981034aba
inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,cubic_spin_glass,test,fully_quadratized,,design_818b6a538bd3a17e9481,equal_layer,equal_layer_p1,1,,73,73,COBYLA,2026082731,0,60,60,0,2026082741,2026082751,a93563b9a9dedc39e1b1b76d667e84f4598bde2feeddbc84afe73bc3d73bfa33,"[5.585142008370761,1.2457074242727668]",-0.6376538198099402,-6.0,0.011062662742829386,19.496726089306772,0.8356959367063075,0.9999999999999993,0.08196830000088084,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,6248372731916392835,original_family_objective_projected_from_statevector,diagnostic_only,pass,,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,39cf03e08fc00329137ac510e7dd3ae506f3c1963f14e4135db56b009682c88a,62d74e366b6d82534156c3e137a8315981034aba
inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,cubic_spin_glass,test,fully_quadratized,,design_818b6a538bd3a17e9481,equal_layer,equal_layer_p1,1,,73,73,COBYLA,2026082732,1,60,60,0,2026082742,2026082752,c38269145044e2bababafd16310ae30d61205d6c68881d507742e30e818b995d,"[5.718176483104931,3.51966260116467]",-0.32065416939114977,-6.0,0.012216375205835161,26.96759545819353,0.9117556599793726,1.0000000000000004,0.06879959999059793,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,9221571175003316756,original_family_objective_projected_from_statevector,diagnostic_only,pass,,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,39cf03e08fc00329137ac510e7dd3ae506f3c1963f14e4135db56b009682c88a,62d74e366b6d82534156c3e137a8315981034aba
inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,cubic_spin_glass,test,fully_quadratized,,design_818b6a538bd3a17e9481,equal_layer,equal_layer_p1,1,,73,73,COBYLA,2026082733,2,60,60,0,2026082743,2026082753,0ed689ae271df0992818d1f20f2543d295e7eb53e74bd4196aec5cd6c2b3e849,"[4.150062182868329,1.916908184684041]",-0.36313876387500654,-6.0,0.017629340113210656,26.34876083019669,0.8937728719438953,1.0,0.029988099995534867,True,Return from COBYLA because the trust region radius reaches its lower bound.,14941784963805488310,original_family_objective_projected_from_statevector,diagnostic_only,pass,,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,39cf03e08fc00329137ac510e7dd3ae506f3c1963f14e4135db56b009682c88a,62d74e366b6d82534156c3e137a8315981034aba
inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,cubic_spin_glass,test,fully_quadratized,,design_818b6a538bd3a17e9481,equal_layer,equal_layer_p2,2,,73,146,COBYLA,2026082731,0,60,60,0,2026082741,2026082751,84626e85900899a6f59b1c9058075039b6960d07340ce24a03e7452451b43f7f,"[5.6068117033820215,5.3946473283412235,1.8042510174629454,1.6908600244388334]",-0.3749426195613344,-6.0,0.01423180014947676,27.86977041336417,0.9450478886630722,0.9999999999999998,0.05998869999893941,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,16218809580301118560,original_family_objective_projected_from_statevector,diagnostic_only,pass,,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,39cf03e08fc00329137ac510e7dd3ae506f3c1963f14e4135db56b009682c88a,62d74e366b6d82534156c3e137a8315981034aba
inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,cubic_spin_glass,test,fully_quadratized,,design_818b6a538bd3a17e9481,equal_layer,equal_layer_p2,2,,73,146,COBYLA,2026082732,1,60,60,0,2026082742,2026082752,3d902d058a62da58c86f912da576fe35a2d29593980a6e7b7d095156c0ff06b1,"[3.808388009233872,5.024377101546863,1.4092087593760296,2.1656472407143057]",-0.38518275363289295,-6.0,0.018185305485466832,24.03807856347604,0.8788575356521222,1.0000000000000004,0.07889079999586102,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,157734828148336506,original_family_objective_projected_from_statevector,diagnostic_only,pass,,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,39cf03e08fc00329137ac510e7dd3ae506f3c1963f14e4135db56b009682c88a,62d74e366b6d82534156c3e137a8315981034aba
inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,cubic_spin_glass,test,fully_quadratized,,design_818b6a538bd3a17e9481,equal_layer,equal_layer_p2,2,,73,146,COBYLA,2026082733,2,60,60,0,2026082743,2026082753,b2a3db00a9cfbb41967481a4639ac1814afa0aead203da4fb83506a3338f0ce7,"[0.86555127493096,3.180604566500745,2.725731418410856,4.101308241099689]",-0.39955994806385775,-6.0,0.019457752943367136,25.41659381124713,0.8787425184244559,1.0,0.0820363999955589,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,3235757527073389552,original_family_objective_projected_from_statevector,diagnostic_only,pass,,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,39cf03e08fc00329137ac510e7dd3ae506f3c1963f14e4135db56b009682c88a,62d74e366b6d82534156c3e137a8315981034aba
inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,cubic_spin_glass,test,fully_quadratized,,design_818b6a538bd3a17e9481,equal_compiled_two_qubit_gates,equal_2q_budget_128,1,128,73,73,COBYLA,2026082731,0,60,60,0,2026082741,2026082751,890a74f3bbd58695afaaf6302a323beb6a9c7acc8a1113804314e2159029482f,"[6.106439130781745,3.527169511694077]",-0.780802598281706,-6.0,0.034694888112358685,24.02679232541978,0.8090334814509866,0.9999999999999993,0.02795430000696797,True,Return from COBYLA because the trust region radius reaches its lower bound.,681384108860382718,original_family_objective_projected_from_statevector,diagnostic_only,pass,,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,39cf03e08fc00329137ac510e7dd3ae506f3c1963f14e4135db56b009682c88a,62d74e366b6d82534156c3e137a8315981034aba
inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,cubic_spin_glass,test,fully_quadratized,,design_818b6a538bd3a17e9481,equal_compiled_two_qubit_gates,equal_2q_budget_128,1,128,73,73,COBYLA,2026082732,1,60,60,0,2026082742,2026082752,45fbaa868f7e19b591e0f274d64c1747c545728bc38793f4c4108e38cd8f325c,"[6.106181772082837,3.5249447658928545]",-0.7809418443480758,-6.0,0.03454350142613952,24.02125105126849,0.8085553613476782,0.9999999999999998,0.05250770000566263,True,Return from COBYLA because the trust region radius reaches its lower bound.,2772683836645359408,original_family_objective_projected_from_statevector,diagnostic_only,pass,,,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,39cf03e08fc00329137ac510e7dd3ae506f3c1963f14e4135db56b009682c88a,62d74e366b6d82534156c3e137a8315981034aba
