family,representation,budget_mode,budget_value,p_min,p_max,instance_count,run_count,original_objective_mean,original_objective_ci95_low,original_objective_ci95_high,paired_difference_vs_native_mean,paired_difference_vs_native_ci95_low,paired_difference_vs_native_ci95_high,optimum_hit_rate_mean,optimum_hit_rate_ci95_low,optimum_hit_rate_ci95_high,encoded_energy_mean,auxiliary_inconsistency_rate_mean,status,config_hash,manifest_hash,code_commit
cubic_spin_glass,matched_random_selective,equal_layer,1,1,1,7,105,-2.331135448502042,-2.726415704949593,-1.9358551920544909,0.01634649374966579,-0.530177079161731,0.5628700666610625,0.13167322708420606,0.02278329659375558,0.24056315757465654,-2.331135448502042,0.0,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
cubic_spin_glass,matched_random_selective,equal_layer,2,2,2,7,105,-2.8895410601715636,-3.586166249396717,-2.1929158709464103,-0.2691711022801394,-0.6245366386778374,0.08619443411755856,0.160333704056236,0.036069479130965545,0.2845979289815065,-2.8895410601715636,0.0,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
cubic_spin_glass,selective,equal_compiled_two_qubit_gates,128,1,4,7,21,-2.5958287162356344,-3.159459874739378,-2.032197557731891,-0.046449286057860424,-0.27864570364402635,0.18574713152830552,0.17043658420177785,0.019736310477964203,0.3211368579255915,-2.5958287162356344,0.0,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
cubic_spin_glass,selective,equal_compiled_two_qubit_gates,256,2,9,7,21,-2.487068729644932,-3.070257122309487,-1.9038803369803765,0.45386097657093216,-0.024994251169792647,0.932716204311657,0.1566082542091767,0.04516645405759724,0.2680500543607562,-2.487068729644932,0.0,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
cubic_spin_glass,selective,equal_layer,1,1,1,7,21,-2.2903614574577955,-3.0392574860514774,-1.5414654288641136,0.05712048479391228,-0.38437976569802834,0.49862073528585293,0.1189936566269683,0.02383177205438504,0.21415554119955155,-2.2903614574577955,0.0,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
cubic_spin_glass,selective,equal_layer,2,2,2,7,21,-2.4875197272778293,-2.869405593581085,-2.1056338609745735,0.13285023061359522,-0.6559609366882811,0.9216613979154716,0.14195472918831162,0.029245569836160293,0.25466388854046296,-2.4875197272778293,0.0,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
max3sat,all_native,equal_compiled_two_qubit_gates,128,0,1,7,21,9.858165168373855,5.753866128917285,13.962464207830426,0.0,0.0,0.0,0.09251603872728645,0.030630132382662892,0.15440194507191002,9.858165168373855,0.0,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
max3sat,all_native,equal_compiled_two_qubit_gates,256,1,3,7,21,7.9151176448508895,4.469434499386397,11.360800790315382,0.0,0.0,0.0,0.1355891511921173,0.04041573047498909,0.23076257190924554,7.9151176448508895,0.0,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
max3sat,all_native,equal_layer,1,1,1,7,21,8.12893920258095,4.4142918622730445,11.843586542888856,0.0,0.0,0.0,0.13907263233029815,0.054749475536512326,0.22339578912408398,8.12893920258095,0.0,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
max3sat,all_native,equal_layer,2,2,2,7,21,7.937628494903246,4.56345968239804,11.311797307408451,0.0,0.0,0.0,0.14482307033289993,0.06558386251107541,0.22406227815472446,7.937628494903246,0.0,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
max3sat,fully_quadratized,equal_compiled_two_qubit_gates,128,0,2,7,21,10.102809618847221,6.606539985076216,13.599079252618226,0.24464445047336753,-0.7552412510561803,1.2445301520029153,0.057284294461381655,0.02309438058483876,0.09147420833792455,38.13910628486769,0.8529245160094915,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
max3sat,fully_quadratized,equal_compiled_two_qubit_gates,256,1,4,7,21,9.769642459869015,6.372193144933305,13.167091774804724,1.8545248150181242,1.1291893555142087,2.57986027452204,0.07090697713431608,0.029840164239431435,0.11197379002920073,36.96831549346577,0.8399104469867059,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
max3sat,fully_quadratized,equal_layer,1,1,1,7,21,9.90296342585385,6.5137575502003,13.2921693015074,1.7740242232728984,0.48974986654204455,3.0582985800037523,0.06446058846407542,0.029693316188255513,0.09922786073989531,36.71546884216969,0.8479205071652034,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
max3sat,fully_quadratized,equal_layer,2,2,2,7,21,10.049785124410631,6.648815113355081,13.450755135466181,2.1121566295073846,0.9938054488118206,3.2305078102029485,0.06388813878921022,0.028944298317785902,0.09883197926063454,38.78245457473258,0.8524494141713594,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
max3sat,matched_random_selective,equal_compiled_two_qubit_gates,128,0,1,7,105,10.093034643912763,6.185366078587095,14.00070320923843,0.23486947553890886,-0.07948089608138464,0.5492198471592024,0.07466712305458474,0.020613782594397695,0.1287204635147718,11.351898615404638,0.10573032158952178,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
max3sat,matched_random_selective,equal_compiled_two_qubit_gates,256,1,3,7,105,8.354924727387596,5.314039516916534,11.395809937858658,0.43980708253670636,-0.8342857459607707,1.7138999110341835,0.11556470522641189,0.054568038870631795,0.17656137158219198,9.48232822124049,0.09584706193076471,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
max3sat,matched_random_selective,equal_layer,1,1,1,7,105,8.894488671215237,5.78113158110904,12.007845761321434,0.7655494686342854,-0.5790337251827775,2.110132662451348,0.0945012277595265,0.043921990037513195,0.1450804654815398,10.00956592694962,0.09814228973663632,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
max3sat,matched_random_selective,equal_layer,2,2,2,7,105,8.170224196170341,4.889967520223908,11.450480872116774,0.2325957012670957,-0.590446299830751,1.0556377023649424,0.1241573100231765,0.05112975797378304,0.19718486207256997,9.004792729037835,0.08361391381311394,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
max3sat,selective,equal_compiled_two_qubit_gates,128,0,1,7,21,9.909779916897183,5.879657954323466,13.939901879470899,0.05161474852332759,-0.38933001954228136,0.49255951658893654,0.08194048860850688,0.02235905308132373,0.14152192413569004,12.457534410071675,0.10913036802121033,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
max3sat,selective,equal_compiled_two_qubit_gates,256,1,3,7,21,8.76955150769521,5.354145825999618,12.184957189390802,0.8544338628443198,-0.5627095017463835,2.271577227435023,0.11101143765703872,0.03430643476576019,0.18771644054831726,11.10212306551773,0.1067972169807647,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
max3sat,selective,equal_layer,1,1,1,7,21,8.251689300049263,5.700078010611837,10.803300589486689,0.12275009746831282,-1.497289438544707,1.7427896334813329,0.09025512451422153,0.04893277315451873,0.13157747587392432,10.764339184853782,0.10843974571379421,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
max3sat,selective,equal_layer,2,2,2,7,21,7.854559170626359,5.372100722838891,10.337017618413828,-0.08306932427688622,-1.550458473779845,1.3843198252260724,0.10304402940654857,0.05009869080034458,0.15598936801275257,10.233568042307875,0.10909866897947264,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
