view,family,source_tier,metric,budget_mode,budget_key,topology_id,sparsity_bin,pair_reuse_bin,instance_count,uncertainty_unit_count,help_count,little_effect_count,hurt_count,help_fraction,little_effect_fraction,hurt_fraction,mean_effect,effect_ci95_low,effect_ci95_high,mean_canonical_cubic_sparsity,mean_pair_reuse_score,status,config_hash,manifest_hash,analysis_config_hash,code_commit
family,cubic_spin_glass,compilation,routing_overhead,not_applicable,not_applicable,all_to_all_reference,low,low,5,5,0,5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.029355206197311457,0.1522222222222222,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,routing_overhead,not_applicable,not_applicable,device_sparse_v1,high,high,2,2,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.7135416666666666,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,routing_overhead,not_applicable,not_applicable,device_sparse_v1,high,intermediate,2,2,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.47916666666666663,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,routing_overhead,not_applicable,not_applicable,device_sparse_v1,intermediate,intermediate,2,2,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.12597402597402596,0.39583333333333337,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,routing_overhead,not_applicable,not_applicable,device_sparse_v1,intermediate,low,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.20833333333333337,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,compilation,routing_overhead,not_applicable,not_applicable,device_sparse_v1,low,low,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.05454545454545454,0.19444444444444442,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,qaoa,qaoa_original_objective,equal_compiled_two_qubit_gates,equal_2q_budget_128,device_sparse_v1,high,high,3,3,0,2,1,0.0,0.6666666666666666,0.3333333333333333,0.006016232783647146,-0.08653406852172407,0.09856653408901836,0.6285714285714286,0.6203703703703703,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,qaoa,qaoa_original_objective,equal_compiled_two_qubit_gates,equal_2q_budget_128,device_sparse_v1,high,intermediate,3,3,0,3,0,0.0,1.0,0.0,0.0011974097701601845,-0.06347445021471547,0.06586926975503583,0.3,0.35185185185185186,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,qaoa,qaoa_original_objective,equal_compiled_two_qubit_gates,equal_2q_budget_128,device_sparse_v1,intermediate,intermediate,1,1,0,1,0,0.0,1.0,0.0,0.040360499594579435,0.040360499594579435,0.040360499594579435,0.14285714285714285,0.33333333333333337,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,qaoa,qaoa_original_objective,equal_compiled_two_qubit_gates,equal_2q_budget_256,device_sparse_v1,high,high,3,3,0,3,0,0.0,1.0,0.0,-0.03767731105514441,-0.04884018231952611,-0.026514439790762706,0.6285714285714286,0.6203703703703703,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,qaoa,qaoa_original_objective,equal_compiled_two_qubit_gates,equal_2q_budget_256,device_sparse_v1,high,intermediate,3,3,0,2,1,0.0,0.6666666666666666,0.3333333333333333,-0.0883352274737146,-0.17837440791168985,0.0017039529642606382,0.3,0.35185185185185186,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,qaoa,qaoa_original_objective,equal_compiled_two_qubit_gates,equal_2q_budget_256,device_sparse_v1,intermediate,intermediate,1,1,0,1,0,0.0,1.0,0.0,-0.042922032203037065,-0.042922032203037065,-0.042922032203037065,0.14285714285714285,0.33333333333333337,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,qaoa,qaoa_original_objective,equal_layer,equal_layer_p1,device_sparse_v1,high,high,3,3,1,2,0,0.3333333333333333,0.6666666666666666,0.0,0.024273201094911236,-0.07242631470904978,0.12097271689887226,0.6285714285714286,0.6203703703703703,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,qaoa,qaoa_original_objective,equal_layer,equal_layer_p1,device_sparse_v1,high,intermediate,3,3,0,3,0,0.0,1.0,0.0,-0.08765519239679624,-0.1227769980470591,-0.052533386746533385,0.3,0.35185185185185186,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,qaoa,qaoa_original_objective,equal_layer,equal_layer_p1,device_sparse_v1,intermediate,intermediate,1,1,0,1,0,0.0,1.0,0.0,0.0339617649716548,0.0339617649716548,0.0339617649716548,0.14285714285714285,0.33333333333333337,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
family,cubic_spin_glass,qaoa,qaoa_original_objective,equal_layer,equal_layer_p2,device_sparse_v1,high,high,3,3,0,2,1,0.0,0.6666666666666666,0.3333333333333333,-0.06438573269995655,-0.16885086039835973,0.04007939499844661,0.6285714285714286,0.6203703703703703,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,f4b9fa0c713f949b9d70ba2d139928af9b5debb4
