instance_id,family,representation,random_rep_seed,design_id,n_original,n_aux,n_qubits,topology_id,transpiler_seed_count,compiled_2q_gates_by_seed_json,compiled_2q_gates_per_layer,config_hash,manifest_hash,code_commit
inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,cubic_spin_glass,matched_random_selective,2026082712,design_e8e67f77c7df82f43ac7,6,0,6,device_sparse_v1,5,"[74,68,68,66,71]",68,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,cubic_spin_glass,matched_random_selective,2026082713,design_e8e67f77c7df82f43ac7,6,0,6,device_sparse_v1,5,"[74,68,68,66,71]",68,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,cubic_spin_glass,matched_random_selective,2026082714,design_e8e67f77c7df82f43ac7,6,0,6,device_sparse_v1,5,"[74,68,68,66,71]",68,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_26a052729d9fe21627fd092781c37a97ef6dd9c8af4c37f19bcf581ae13425de,cubic_spin_glass,matched_random_selective,2026082715,design_e8e67f77c7df82f43ac7,6,0,6,device_sparse_v1,5,"[74,68,68,66,71]",68,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,max3sat,all_native,,design_5bf50ca6b5fc9b89a962,10,0,10,device_sparse_v1,5,"[132,142,138,129,140]",138,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,max3sat,fully_quadratized,,design_b324cb359e39587cb955,10,2,12,device_sparse_v1,5,"[91,90,80,86,94]",90,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,max3sat,selective,,design_693252e5b1264828904e,10,2,12,device_sparse_v1,5,"[91,92,89,88,91]",91,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,max3sat,matched_random_selective,2026082711,design_b5e938b38dcb3db2205e,10,2,12,device_sparse_v1,5,"[144,147,146,151,152]",147,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,max3sat,matched_random_selective,2026082712,design_03b29d29711af273016a,10,2,12,device_sparse_v1,5,"[117,119,121,122,128]",121,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,max3sat,matched_random_selective,2026082713,design_62383b2c5c56a7e5ca54,10,2,12,device_sparse_v1,5,"[154,154,166,148,156]",154,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,max3sat,matched_random_selective,2026082714,design_e6442bfb1f4c53ff08e8,10,2,12,device_sparse_v1,5,"[164,160,146,157,149]",157,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,max3sat,matched_random_selective,2026082715,design_37261bec10cd22a70ae5,10,2,12,device_sparse_v1,5,"[140,143,148,147,155]",147,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,cubic_spin_glass,all_native,,design_abc223721d7e256793a8,6,0,6,device_sparse_v1,5,"[31,29,31,29,31]",31,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,cubic_spin_glass,fully_quadratized,,design_8a5821f9341faec2a468,6,3,9,device_sparse_v1,5,"[71,69,71,67,72]",71,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,cubic_spin_glass,selective,,design_abc223721d7e256793a8,6,0,6,device_sparse_v1,5,"[31,29,31,29,31]",31,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,cubic_spin_glass,matched_random_selective,2026082711,design_abc223721d7e256793a8,6,0,6,device_sparse_v1,5,"[31,29,31,29,31]",31,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,cubic_spin_glass,matched_random_selective,2026082712,design_abc223721d7e256793a8,6,0,6,device_sparse_v1,5,"[31,29,31,29,31]",31,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,cubic_spin_glass,matched_random_selective,2026082713,design_abc223721d7e256793a8,6,0,6,device_sparse_v1,5,"[31,29,31,29,31]",31,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,cubic_spin_glass,matched_random_selective,2026082714,design_abc223721d7e256793a8,6,0,6,device_sparse_v1,5,"[31,29,31,29,31]",31,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_68182ec61906beaeaf985399446793651206286ca861e2884f2f8538db8f65f6,cubic_spin_glass,matched_random_selective,2026082715,design_abc223721d7e256793a8,6,0,6,device_sparse_v1,5,"[31,29,31,29,31]",31,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_6d175f46adaeddca794682ee19d5e6aeba5357c0cdcd37b731fcaa351e5b2594,max3sat,all_native,,design_e8e67f77c7df82f43ac7,8,0,8,device_sparse_v1,5,"[130,133,137,132,134]",133,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_6d175f46adaeddca794682ee19d5e6aeba5357c0cdcd37b731fcaa351e5b2594,max3sat,fully_quadratized,,design_8311a0301dc59a8987ae,8,2,10,device_sparse_v1,5,"[124,116,122,117,119]",119,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
inst_6d175f46adaeddca794682ee19d5e6aeba5357c0cdcd37b731fcaa351e5b2594,max3sat,selective,,design_e8e67f77c7df82f43ac7,8,0,8,device_sparse_v1,5,"[130,133,137,132,134]",133,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,62d74e366b6d82534156c3e137a8315981034aba
