instance_id,family,split,representation_class,selected_design_id,unguarded_design_id,guardrail_changed_design,selected_normalised_fibre_excess,unguarded_normalised_fibre_excess,resource_score_degradation,candidate_count,moment_sha256
inst_d3c2d6023cd84ca91146b592338437fe9dff0b1e99c18bee1d0bf70aeae6a8e9,cubic_spin_glass,train,all_native,fibre_design_186263926bdd1bf0968c,fibre_design_186263926bdd1bf0968c,False,0.0,0.0,0.0,65536,dde293388f89386b1b104737908cf5374f40b5a1f23dde2c0a1e53e793df483a
inst_d41f0f7cfadf548afd8b36d546bb429f87eb0a321ce54be13730294aea45e72a,max3sat,validation,mixed_selective,fibre_design_0eea76449afdc50eb6a5,fibre_design_ff5a29840c27e807f555,True,0.01938657407368827,0.04513888888966049,0.04869791666666667,16384,97a8d839b65fc881852cd062f4445960462645ad0a4cf146c2a0860925910c31
inst_d95ba9f5c6b1b663c2de24561e48d4b13c46cc51b82ce790ae6af438b438eddc,cubic_spin_glass,validation,all_native,fibre_design_7948ef61f04a882affbb,fibre_design_7948ef61f04a882affbb,False,0.0,0.0,0.0,16384,9c8f63aac7c66db31389f2ab2a4f422708cc6804082a700007a51e90ec2fceee
inst_d9fcb64321ce091430ee6b0db1aa4dfbaad697aa5555a67df934058f2ba4f14a,cubic_spin_glass,train,all_native,fibre_design_ed574e6bbc2fa787fa38,fibre_design_ed574e6bbc2fa787fa38,False,0.0,0.0,0.0,1024,5b4735cd41599ae54399876953a69c86463a6c28c492051848fabc4294f1ee6f
inst_dade03db84c619118a6748c21ec501901532795cabc6e6217c275cf030d00453,max3sat,validation,fully_reduced,fibre_design_c93bd35c0239247d950a,fibre_design_c93bd35c0239247d950a,False,0.01041666666482205,0.01041666666482205,0.0,4096,2fe108691255912ae8c6663a14ef0d1eba3e9ce02601b45387ac3ce9eddf5f60
inst_e1b2f08364aecae1af02f56f628a0fa0a6648302c7bbb0f12d915d4dc49bc1fc,cubic_spin_glass,train,all_native,fibre_design_186263926bdd1bf0968c,fibre_design_186263926bdd1bf0968c,False,0.0,0.0,0.0,65536,a32899f6ba086030092b5742164872cf20f9c95aa3d2b43bf7d25f6f7ce28181
inst_e3e6dbeaae002921ac052e4a5cf6f8cb5dd37cddbfdc3c4e23a0c9432d59d80e,cubic_spin_glass,validation,all_native,fibre_design_7948ef61f04a882affbb,fibre_design_7948ef61f04a882affbb,False,0.0,0.0,0.0,16384,7899c84e764b78198bf6cdbb7b402fe396fb54e39015b07143299eb399a2bf7f
inst_e60b9255b354a60d52fe024ff785db607b4ef095b1160c4b99c9be19ca7813ae,cubic_spin_glass,train,all_native,fibre_design_7948ef61f04a882affbb,fibre_design_7948ef61f04a882affbb,False,0.0,0.0,0.0,16384,ef7419daee0ad01b4e2b86c105719a992e46df7027dd67d054f8e726e7f810dd
inst_e7c760c5bbca9d80515c990ed99c50d1fe5f51c98613acfdae5eabc96f15b528,cubic_spin_glass,train,all_native,fibre_design_97feebf13ebdd66935da,fibre_design_97feebf13ebdd66935da,False,0.0,0.0,0.0,4096,de4d3e9ec09fb7ab893c3f4f1bd5dba5695eefcdf7c01e2b69f8189520246b49
inst_e990046a904689cc5ef1615dbefd078293dceea63bc8f4ffcd71a56b3a1346cf,max3sat,train,fully_reduced,fibre_design_8218cd597b56b5610d70,fibre_design_8218cd597b56b5610d70,False,4.102564442011779e-11,4.102564442011779e-11,0.0,4096,7c4902fc9903af9d15727ce34da2b52631b951c75ce6a958a750400884a11674
inst_f563df67f7c2758f96c1628905727d7ce51ec8161c04dff4ea739eea2ff20d17,cubic_spin_glass,validation,all_native,fibre_design_97feebf13ebdd66935da,fibre_design_97feebf13ebdd66935da,False,0.0,0.0,0.0,4096,87c3338c143e3fff8bf96ff99fcb8cf0f3267f03a6cdcac141e1139dc3c503e2
inst_f618aedaa283fbbee7d6c0cfdb4e2dee081cd0012a80ca3fb3719ff9808f8baa,max3sat,train,mixed_selective,fibre_design_6921366a02f0ae0363b4,fibre_design_6921366a02f0ae0363b4,False,0.004280821917808219,0.004280821917808219,0.0,16384,d368c83fa189735d02436e7f1fec38817165dc68980d6b0b2feb0ffae7b26f4a
inst_fb8c721f454174cb8aef897ad3faef24febb3992347faa696ded176a8b5a23ed,cubic_spin_glass,train,all_native,fibre_design_ed574e6bbc2fa787fa38,fibre_design_ed574e6bbc2fa787fa38,False,0.0,0.0,0.0,1024,2f1c4f9b55444c31c32876d2e2ef1d8662011dd280f6f7951cc73c1719540957
