instance_id,family,n_original,active_auxiliary_count,median_abs_single_margin,mean_active_pair_dependence,relaxation_objective,moment_sha256,screening_source,config_hash
inst_d7e2c5bd0e77d2e75416d73dabf5f664f7eb600538e8be894ba245d8c3a5265f,cubic_spin_glass,10,2,0.0,0.24999999987500043,-43.999999999,75b9d48a17adc43b48a07886dc465ea384b6232343595ae0bbc640e153b4f134,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_1522055d90e1a9e494b11128595fbe26f577baa32161dd2aa3abf20851f5b903,cubic_spin_glass,10,2,0.0,0.24999999995833347,-47.999999998999996,55b84b7222fa43fafcc5a8884dd61f0dd40059433c1272e5124670b47d26e700,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_790c29543e2d1e447fdf86a5079167befa208930a5f3a80c9dc1cb5b4e2a15b2,cubic_spin_glass,6,3,0.0,0.24999999998437505,-43.99999999900001,53084037bcc14973b6a391e982dda5686167714b3e19fe81163589fc49db5f79,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_f4f97605dea5493a4d00648c1a30e38514855bbf7ede792d53bef3cc9335a590,cubic_spin_glass,8,4,0.0,0.2499999999687501,-55.99999999900001,976699ee95c0ff46d79e59fa89e2c66e90b5b59bd79696d1dc0aa05a58e8a646,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_07c653e3516fc4a8a6a3bf2bffc2e241f8814c9af9df518eb8b347dbc9e79fc2,cubic_spin_glass,10,2,0.0,0.24999999998214278,-79.99999999900002,92f5a6ba5bb0f7b4ffbfb89354d026c5e8c5ef7a4c3b14af4e1545eab45e894c,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_a2b33bf1c4a5dfc850fb28f3609fb91b0d5fd2706afa54f248a36a290fb3934e,cubic_spin_glass,10,2,0.0,0.25,-48.999999999,56b4e47e6efd10a6c19083b16dec924cc49220e1272cb8f1d1ffbc6bfeab106c,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_6d832fc6856b5db9af378f6ade041c9eb9f5f8a175ac2d6d0b91bfc972f9ffe6,cubic_spin_glass,10,2,0.0,0.08333333300000823,-30.999999999000025,0a8232a237008e9cccbd68be3c1c8328ded598a7f5068e10625a5c5782e8262b,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_b2813cac12954bd1c58aa9fcb09a0d58e633a1a37a85f447f2fcd599fe5dede9,cubic_spin_glass,6,3,0.0,0.24999999997916675,-39.999999999,d62eaf4479aed17803a9da074fbe8167418c44bd089a3d95267ddacb4af82e35,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_5ae5eb682265cedfed2333fed3b9fbb215b91811da3f618b32ad1729e1c564e2,cubic_spin_glass,8,4,2.0833390568242294e-11,0.25,-75.999999999,b612ebe2ef4df5f2e7ea62e04a93c2797891dfc3fd626db99a5430a66c70f5e9,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_dd3fbca1923d7b9792d92ad9fbd29db3203944590412aecd78cf37a477f826f2,cubic_spin_glass,10,2,0.0,0.25,-91.999999999,66fffd4cd9a664e70dac0d5734e1b3022ba1aa8197ff209e2f8616410eed8f13,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_44ad8c3a65b8ee455b48d11a01b5d8701878174a64ca7fa5a26e9d209e4efbac,cubic_spin_glass,10,2,0.0,0.22499999997916675,-37.999999998999996,31a8d01a31b01fe0f828f7d1981e3027dd576446eeff37e621545fedd666f6fc,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_916229a496209860be129ab8dd5004fb9d36bffa90fea5c6f2078e8b0d5cdc61,cubic_spin_glass,6,3,2.777755803151649e-11,0.24999999996296327,-35.999999999,1e9c32b0c836423e9a244113a38486501b197acbed6d2cd95e109075aa47902d,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_9d801914ea69b44f2f4b912ffed2915500c447b96854e9e9ede48556b6035af5,cubic_spin_glass,8,4,0.0,0.24999999997500008,-55.999999999,3f2dbf52eb68cf90a5bde8089cfbfd941f75956d4307be548537c6dd5c8f688c,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_2f602370fd92399f797e6665437aee3a9575bcd246062c3d1190d4e784fc817c,cubic_spin_glass,10,2,0.0,0.25,-75.999999999,f9a0a447fe63461102bd66fb071d141a0271db61b823c94e2f3c4f7d5a98b6a2,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_881b7f8837d141594066b95992c107362f590a2cca49d92e3a95c84a349d2d72,cubic_spin_glass,10,2,0.0,0.24999999993750022,-41.999999999,3a1bb2014951f69364003baeb3bed5fc05ca6197d45e36b455c69d4c355cd247,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_4120f2e2b2230d607325fd26605b9cbed315aad3216fd302695add6f1129eb8d,cubic_spin_glass,6,3,2.7777669053818954e-11,0.2499999999629631,-35.999999999,23c5d6eb8bbc0c58e1a1ece0610a509afa60fdf4c7080b896552a2a3aadcf9e3,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_fab26ac352c6435354613a9d9ca8ccbce67638959365ae61441417e590da8fbe,cubic_spin_glass,8,4,0.0,0.24999999998333328,-75.99999999900001,f87bce8975a896517811bf6d365db0f64a43ee7b10009e60d46f96f396669195,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_12d30d5eeedb6d7b0401dddea67fd8129b61124da4533729f826c8386452bd5f,cubic_spin_glass,8,4,0.0,0.24999999998263883,-83.999999999,01e6e947563b7829ee625b382f80710107f53343099d2f7f8f70cfffc5968e4e,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_79b96a20541cd8ff58572fb73792ba2120bd43a3f63ac515f5c9bddf3554015b,cubic_spin_glass,10,2,0.0,0.25,-103.999999999,a0b057e42138ef8987f0664d6f4df14ff286d614cf514d0879d8d737ea0fea7b,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_c2d29f5df8bd96a9060b5dc1017d5929e858a5381dedab64342bc9e47de2226f,cubic_spin_glass,8,4,0.0,0.08124999993750022,-35.99999999900001,ad9768d456e1eef043b2c930f045abe720f8b2407d0091077cb7e3ff860c5cce,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_a9409bb4661a218f38a89d8bece4bd8602d13e33162fe93232fc81ba47733075,cubic_spin_glass,10,2,0.0,0.25,-49.999999999,0a205c0033be04443338a69f64283bfae0b22721e0e02019f316324ec6bf29bd,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_c68d4116064a3ddc87a86038fcfe92c349199baee808a075970f06b779fe7678,cubic_spin_glass,6,3,0.0,0.2499999999687501,-43.99999999900001,4d478e529727fbf34eaad0b0c817b8f38a62fafa636cb7e2f2b364705dcd523d,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_42d92ab2e42f53bdc473db675c5e34ba11020ccedd7f23112494b8dfc83aae6f,cubic_spin_glass,8,4,0.0,0.2499999999895834,-63.999999999,e95d7b9a78b64482c4c7ad6c5a31c5cf7518302c44de42987e11e1156ec83e6e,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_f175a1f4b8e43c1dc47524de46b2e4faf42de69e23c790c033dc9c681278e871,cubic_spin_glass,10,2,0.0,0.13749999991666634,-74.99999999899998,218af8b23314eb7c1f9c98e92c34cd9cc7f4ccffdcc236966be582bee6cc0c59,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_dff555a962859f8af9af61395dff1d2a608fa43055e94cd71ee70c9365334fb4,cubic_spin_glass,8,4,0.0,0.23749999987499998,-29.999999999,6448fd789f3d32f8e46168158063d28b8380b0211b6f7d265addb2af90ba1edf,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
