family,representation,noise_level,instance_count,design_count,run_count,original_objective_mean,original_objective_ci95_low,original_objective_ci95_high,paired_degradation_vs_noiseless_mean,paired_degradation_vs_noiseless_ci95_low,paired_degradation_vs_noiseless_ci95_high,optimum_hit_rate_mean,optimum_hit_rate_ci95_low,optimum_hit_rate_ci95_high,auxiliary_inconsistency_rate_mean,auxiliary_inconsistency_rate_ci95_low,auxiliary_inconsistency_rate_ci95_high,status,config_hash,noise_manifest_hash,protocol_config_hash,code_commit
cubic_spin_glass,matched_random_selective,realistic_low,9,17,135,-0.6183738425925925,-0.6904757995829965,-0.5462718856021885,2.0344835069444445,1.8685607490595795,2.2004062648293092,0.06397388599537036,0.0511202036161682,0.07682756837457252,0.17775065104166668,0.12108883613027638,0.23441246595305698,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,349f5689b882c80cd7d4168bee4e3488eb417d492f37a820492011b65788712e,8dc4863817b71eed7e1eb634fe97c126922586b4f28037b98034d79e943972de,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,matched_random_selective,realistic_high,9,17,135,-0.09326533564814815,-0.11708667144154924,-0.06944399985474706,2.559592013888889,2.3622065341254386,2.7569774936523395,0.04097222222222222,0.032719037585391963,0.04922540685905248,0.1779513888888889,0.12132131326299442,0.23458146451478337,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,349f5689b882c80cd7d4168bee4e3488eb417d492f37a820492011b65788712e,8dc4863817b71eed7e1eb634fe97c126922586b4f28037b98034d79e943972de,749d39f68d29d796da0060f6c180c3306254979e
max3sat,all_native,noiseless,9,9,27,7.952736183449074,6.3288044598779924,9.576667907020155,0.0,0.0,0.0,0.1286078559027778,0.0643191419767299,0.1928965698288257,0.0,0.0,0.0,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,349f5689b882c80cd7d4168bee4e3488eb417d492f37a820492011b65788712e,8dc4863817b71eed7e1eb634fe97c126922586b4f28037b98034d79e943972de,749d39f68d29d796da0060f6c180c3306254979e
max3sat,all_native,realistic_low,9,9,27,9.305121527777779,7.777899996791819,10.832343058763737,1.3523853443287037,1.0283464897831984,1.676424198874209,0.06977900752314815,0.033627563845594045,0.10593045120070227,0.0,0.0,0.0,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,349f5689b882c80cd7d4168bee4e3488eb417d492f37a820492011b65788712e,8dc4863817b71eed7e1eb634fe97c126922586b4f28037b98034d79e943972de,749d39f68d29d796da0060f6c180c3306254979e
max3sat,all_native,realistic_high,9,9,27,9.70044849537037,8.180312369469727,11.220584621271014,1.7477123119212963,1.3569547074590287,2.138469916383564,0.055817780671296294,0.02559968787338355,0.08603587346920905,0.0,0.0,0.0,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,349f5689b882c80cd7d4168bee4e3488eb417d492f37a820492011b65788712e,8dc4863817b71eed7e1eb634fe97c126922586b4f28037b98034d79e943972de,749d39f68d29d796da0060f6c180c3306254979e
max3sat,fully_quadratized,noiseless,9,9,27,9.024088541666666,7.5364634504811425,10.511713632852189,0.0,0.0,0.0,0.06944444444444445,0.0379702422878441,0.1009186466010448,0.8192093460648148,0.7799601319817984,0.8584585601478312,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,349f5689b882c80cd7d4168bee4e3488eb417d492f37a820492011b65788712e,8dc4863817b71eed7e1eb634fe97c126922586b4f28037b98034d79e943972de,749d39f68d29d796da0060f6c180c3306254979e
max3sat,fully_quadratized,realistic_low,9,9,27,9.39602322048611,7.91184867229047,10.880197768681752,0.3719346788194444,0.28252033324365533,0.4613490243952335,0.06174949363425926,0.030925048755405065,0.09257393851311345,0.8195439091435185,0.7806056878208434,0.8584821304661936,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,349f5689b882c80cd7d4168bee4e3488eb417d492f37a820492011b65788712e,8dc4863817b71eed7e1eb634fe97c126922586b4f28037b98034d79e943972de,749d39f68d29d796da0060f6c180c3306254979e
max3sat,fully_quadratized,realistic_high,9,9,27,9.633174189814815,8.139094915848107,11.127253463781523,0.6090856481481481,0.46003528462497667,0.7581360116713196,0.05576352719907408,0.025727658822587835,0.08579939557556032,0.8207013165509259,0.781733548374542,0.8596690847273099,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,349f5689b882c80cd7d4168bee4e3488eb417d492f37a820492011b65788712e,8dc4863817b71eed7e1eb634fe97c126922586b4f28037b98034d79e943972de,749d39f68d29d796da0060f6c180c3306254979e
max3sat,selective,noiseless,9,9,27,8.722800925925926,7.11071183441063,10.334890017441221,0.0,0.0,0.0,0.07675962094907407,0.040601264651042954,0.11291797724710519,0.7151511863425926,0.6612582158961104,0.7690441567890747,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,349f5689b882c80cd7d4168bee4e3488eb417d492f37a820492011b65788712e,8dc4863817b71eed7e1eb634fe97c126922586b4f28037b98034d79e943972de,749d39f68d29d796da0060f6c180c3306254979e
max3sat,selective,realistic_low,9,9,27,9.45553927951389,7.897272352311894,11.013806206715884,0.7327383535879629,0.496586349677955,0.9688903574979708,0.06044741030092592,0.029244279447545554,0.09165054115430629,0.7400354456018519,0.6948832684273821,0.7851876227763216,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,349f5689b882c80cd7d4168bee4e3488eb417d492f37a820492011b65788712e,8dc4863817b71eed7e1eb634fe97c126922586b4f28037b98034d79e943972de,749d39f68d29d796da0060f6c180c3306254979e
max3sat,selective,realistic_high,9,9,27,9.694724754050926,8.143548960530936,11.245900547570916,0.971923828125,0.6966796474096426,1.2471680088403574,0.05674008969907408,0.026918606161356457,0.0865615732367917,0.7472601996527778,0.7028601238769066,0.791660275428649,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,349f5689b882c80cd7d4168bee4e3488eb417d492f37a820492011b65788712e,8dc4863817b71eed7e1eb634fe97c126922586b4f28037b98034d79e943972de,749d39f68d29d796da0060f6c180c3306254979e
max3sat,matched_random_selective,noiseless,9,45,135,8.363624855324074,7.678458034943674,9.048791675704475,0.0,0.0,0.0,0.09198314525462963,0.07133545706583727,0.11263083344342198,0.7078143084490741,0.6775775050278406,0.7380511118703076,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,349f5689b882c80cd7d4168bee4e3488eb417d492f37a820492011b65788712e,8dc4863817b71eed7e1eb634fe97c126922586b4f28037b98034d79e943972de,749d39f68d29d796da0060f6c180c3306254979e
max3sat,matched_random_selective,realistic_low,9,45,135,9.28601707175926,8.629486942495237,9.942547201023281,0.9223922164351852,0.7999884424729796,1.0447959903973907,0.06365379050925926,0.049045751959786194,0.07826182905873233,0.7294198495370371,0.7061261473912903,0.7527135516827839,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,349f5689b882c80cd7d4168bee4e3488eb417d492f37a820492011b65788712e,8dc4863817b71eed7e1eb634fe97c126922586b4f28037b98034d79e943972de,749d39f68d29d796da0060f6c180c3306254979e
max3sat,matched_random_selective,realistic_high,9,45,135,9.645288990162037,8.98309425554848,10.307483724775594,1.281664134837963,1.1071064303715499,1.456221839304376,0.05640914351851852,0.04305572129693687,0.06976256574010017,0.7420048466435185,0.7214867259536716,0.7625229673333654,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,349f5689b882c80cd7d4168bee4e3488eb417d492f37a820492011b65788712e,8dc4863817b71eed7e1eb634fe97c126922586b4f28037b98034d79e943972de,749d39f68d29d796da0060f6c180c3306254979e
