family,representation,budget_mode,budget_key,budget_value,budget_label,warm_start_policy,pair_closure,instance_count,design_count,run_count,ci_unit,ci_method,original_objective_mean,original_objective_ci95_low,original_objective_ci95_high,paired_difference_vs_cold_mean,paired_difference_vs_cold_ci95_low,paired_difference_vs_cold_ci95_high,optimum_hit_rate_mean,optimum_hit_rate_ci95_low,optimum_hit_rate_ci95_high,encoded_energy_mean,auxiliary_inconsistency_rate_mean,mean_abs_original_margin,weak_signal_instance_count,status,config_hash,manifest_hash,code_commit
cubic_spin_glass,fully_quadratized,equal_layer,equal_layer_p2,2,p=2,cold_start,not_applicable,7,7,21,instance,instance_cluster_normal_95,-0.579207686418913,-0.9426054818176757,-0.21580989102015025,0.0,0.0,0.0,0.06273006704240924,0.008526342681632451,0.11693379140318604,49.8279219004249,0.9107467823448273,0.09226190476190477,5,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,fully_quadratized,equal_layer,equal_layer_p2,2,p=2,original_and_auxiliary_variables,independence_mu_product_ablation,7,7,21,instance,instance_cluster_normal_95,-0.7199051222139676,-1.0604425197899512,-0.37936772463798396,-0.14069743579505475,-0.3589372786295077,0.07754240703939819,0.06414641123903338,0.0090310135273396,0.11926180895072716,45.94754716663367,0.8608473911791302,0.09226190476190477,5,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,fully_quadratized,equal_layer,equal_layer_p2,2,p=2,original_and_auxiliary_variables,sa_rlt_level_2_pair_moments,7,7,21,instance,instance_cluster_normal_95,-0.5156872749303056,-0.7362489423443026,-0.2951256075163087,0.06352041148860726,-0.17827667247457815,0.30531749545179265,0.05405682650927609,0.005697129256243681,0.1024165237623085,48.1135304378891,0.8767807483492771,0.09226190476190477,5,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,fully_quadratized,equal_layer,equal_layer_p2,2,p=2,original_variables_only,auxiliary_cold_half,7,7,21,instance,instance_cluster_normal_95,-0.5552453979127508,-0.7600442293486105,-0.35044656647689126,0.023962288506162003,-0.23747831844921208,0.2854028954615361,0.061010907185580054,0.011054695019407604,0.1109671193517525,47.683281482289146,0.8876301324445246,0.09226190476190477,5,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,matched_random_selective,equal_compiled_two_qubit_gates,equal_2q_budget_128,128,2Q=128,cold_start,not_applicable,7,15,105,instance,instance_cluster_normal_95,-1.8309853681513624,-2.7908380416390344,-0.8711326946636905,0.0,0.0,0.0,0.1661693684969603,0.007234110546395667,0.3251046264475249,6.011871774705779,0.24999999999999994,0.09226190476190477,5,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,matched_random_selective,equal_compiled_two_qubit_gates,equal_2q_budget_128,128,2Q=128,original_and_auxiliary_variables,independence_mu_product_ablation,2,10,30,instance,instance_cluster_normal_95,-0.22222222222222268,-0.6577777777777791,0.21333333333333374,-0.22222222222222265,-0.6577777777777791,0.21333333333333387,0.05151293509945135,-0.019593042695473274,0.12261891289437599,21.625564814814823,0.8197278584936114,0.11458333333333337,1,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,matched_random_selective,equal_compiled_two_qubit_gates,equal_2q_budget_128,128,2Q=128,original_and_auxiliary_variables,sa_rlt_level_2_pair_moments,2,10,30,instance,instance_cluster_normal_95,-0.22222222222222274,-0.6577777777777791,0.21333333333333368,-0.22222222222222274,-0.6577777777777791,0.21333333333333368,0.051512935099451346,-0.019593042695473267,0.12261891289437596,24.344907407407412,0.8537813722501651,0.11458333333333337,1,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,matched_random_selective,equal_compiled_two_qubit_gates,equal_2q_budget_128,128,2Q=128,original_variables_only,auxiliary_cold_half,7,15,105,instance,instance_cluster_normal_95,-1.6073905579297834,-2.359650353452319,-0.8551307624072476,0.2235948102215788,-0.06940477366177772,0.5165943941049354,0.15302775811506936,0.019027338238050168,0.2870281779920886,5.500678225139004,0.2500000000000001,0.09226190476190477,5,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,matched_random_selective,equal_compiled_two_qubit_gates,equal_2q_budget_256,256,2Q=256,cold_start,not_applicable,7,15,105,instance,instance_cluster_normal_95,-2.1257144404416923,-2.7606586950838263,-1.4907701857995586,0.0,0.0,0.0,0.1692857822547716,0.02232547897145168,0.3162460855380915,5.912290657489457,0.24328617810798545,0.09226190476190477,5,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
cubic_spin_glass,matched_random_selective,equal_compiled_two_qubit_gates,equal_2q_budget_256,256,2Q=256,original_and_auxiliary_variables,independence_mu_product_ablation,2,10,30,instance,instance_cluster_normal_95,-0.9250865078230774,-1.1883454124853727,-0.6618276031607822,0.14229570605851743,0.0530626276250445,0.23152878449199038,0.05233061922073209,0.0014728776448158926,0.10318836079664828,23.492973285904093,0.8339139579045034,0.11458333333333337,1,pass,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,801bd21b3dc8072237ed4eb68fd32a2cb9aff13978dac017718d438289958197,749d39f68d29d796da0060f6c180c3306254979e
