instance_id,family,split,representation,topology_id,scheduled_row_count,success_count,failure_count,random_rep_seed_count,transpiler_seed_count,two_qubit_gates_mean,two_qubit_gates_median,two_qubit_gates_std,two_qubit_gates_ci95_low,two_qubit_gates_ci95_high,two_qubit_depth_mean,two_qubit_depth_median,two_qubit_depth_std,two_qubit_depth_ci95_low,two_qubit_depth_ci95_high,swap_count_mean,swap_count_median,routing_overhead_mean,routing_overhead_median,compile_runtime_sec_mean,compile_runtime_sec_median,status,failure_kinds,config_hash,manifest_hash,code_commit
inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,cubic_spin_glass,train,all_native,all_to_all_reference,5,5,0,0,5,128.0,128.0,0.0,128.0,128.0,115.0,115.0,0.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0017279400024563074,0.001799099991330877,pass,,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,cubic_spin_glass,train,all_native,device_sparse_v1,5,5,0,0,5,221.4,220.0,10.237187113655782,212.42670985646848,230.37329014353153,173.0,171.0,15.411035007422441,159.49163222295158,186.50836777704842,36.2,36.0,93.4,92.0,0.009720680007012561,0.009687000012490898,pass,,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,cubic_spin_glass,train,fully_quadratized,all_to_all_reference,5,5,0,0,5,136.0,136.0,0.0,136.0,136.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0014517600007820874,0.001430800009984523,pass,,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,cubic_spin_glass,train,fully_quadratized,device_sparse_v1,5,0,5,0,5,,,,,,,,,,,,,,,,,expected_infeasible_width,expected_capacity_failure,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,cubic_spin_glass,train,matched_random_selective,all_to_all_reference,25,25,0,5,5,162.4,160.0,3.265986323710904,161.11973336110532,163.6802666388947,96.4,96.0,5.346338310781813,94.30423538217353,98.49576461782648,0.0,0.0,0.0,0.0,0.001701884000794962,0.0016465999942738563,pass,,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,cubic_spin_glass,train,matched_random_selective,device_sparse_v1,25,0,25,5,5,,,,,,,,,,,,,,,,,expected_infeasible_width,expected_capacity_failure,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,cubic_spin_glass,train,selective,all_to_all_reference,5,5,0,0,5,148.0,148.0,0.0,148.0,148.0,75.0,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0015364799939561636,0.0015414999797940254,pass,,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,cubic_spin_glass,train,selective,device_sparse_v1,5,0,5,0,5,,,,,,,,,,,,,,,,,expected_infeasible_width,expected_capacity_failure,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14,cubic_spin_glass,validation,all_native,all_to_all_reference,5,5,0,0,5,192.0,192.0,0.0,192.0,192.0,158.0,158.0,0.0,158.0,158.0,0.0,0.0,0.0,0.0,0.002844560000812635,0.002810000005410984,pass,,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14,cubic_spin_glass,validation,all_native,device_sparse_v1,5,5,0,0,5,379.6,380.0,14.587666023048376,366.81334695864473,392.3866530413553,272.0,264.0,17.30606829987678,256.83056230442276,287.16943769557724,70.4,70.0,187.6,188.0,0.013155820005340501,0.013022200000705197,pass,,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14,cubic_spin_glass,validation,fully_quadratized,all_to_all_reference,5,5,0,0,5,262.0,262.0,0.0,262.0,262.0,64.0,64.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0032398599956650286,0.0033585000201128423,pass,,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14,cubic_spin_glass,validation,fully_quadratized,device_sparse_v1,5,0,5,0,5,,,,,,,,,,,,,,,,,expected_infeasible_width,expected_capacity_failure,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14,cubic_spin_glass,validation,matched_random_selective,all_to_all_reference,25,25,0,5,5,218.4,218.0,3.511884584284246,217.02334124296058,219.77665875703943,154.6,154.0,6.075908711186061,152.21824378521507,156.98175621478492,0.0,0.0,0.0,0.0,0.0028099720017053186,0.002897900005336851,pass,,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14,cubic_spin_glass,validation,matched_random_selective,device_sparse_v1,25,0,25,5,5,,,,,,,,,,,,,,,,,expected_infeasible_width,expected_capacity_failure,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14,cubic_spin_glass,validation,selective,all_to_all_reference,5,5,0,0,5,208.0,208.0,0.0,208.0,208.0,124.0,124.0,0.0,124.0,124.0,0.0,0.0,0.0,0.0,0.002550559985684231,0.0022131999721750617,pass,,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14,cubic_spin_glass,validation,selective,device_sparse_v1,5,0,5,0,5,,,,,,,,,,,,,,,,,expected_infeasible_width,expected_capacity_failure,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9,max3sat,train,all_native,all_to_all_reference,5,5,0,0,5,66.0,66.0,0.0,66.0,66.0,49.0,49.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0007853800023440271,0.0007172000186983496,pass,,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9,max3sat,train,all_native,device_sparse_v1,5,5,0,0,5,100.8,99.0,3.420526275297414,97.80177652600744,103.79822347399255,84.0,82.0,3.4641016151377544,80.96358105657339,87.03641894342661,13.2,13.0,34.8,33.0,0.008339299994986504,0.00845989998197183,pass,,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9,max3sat,train,fully_quadratized,all_to_all_reference,5,5,0,0,5,56.0,56.0,0.0,56.0,56.0,30.0,30.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.001074899995001033,0.000977399991825223,pass,,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9,max3sat,train,fully_quadratized,device_sparse_v1,5,5,0,0,5,87.6,89.0,3.0495901363953815,84.92691638739076,90.27308361260923,56.4,55.0,6.8044103344816,50.43567137055645,62.36432862944355,11.6,12.0,31.6,33.0,0.0075578800053335725,0.008079899998847395,pass,,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9,max3sat,train,matched_random_selective,all_to_all_reference,25,25,0,5,5,67.6,68.0,4.163331998932265,65.96797385641855,69.23202614358144,41.8,43.0,3.253203549323856,40.52474420866505,43.075255791334946,0.0,0.0,0.0,0.0,0.0009448600024916232,0.0009602000063750893,pass,,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9,max3sat,train,matched_random_selective,device_sparse_v1,25,25,0,5,5,108.2,109.0,8.421203397773187,104.89888826807291,111.5011117319271,74.16,75.0,6.606057825965498,71.57042533222152,76.74957466777848,15.0,15.0,40.6,40.0,0.0074434239999391135,0.007400799979222938,pass,,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9,max3sat,train,selective,all_to_all_reference,5,5,0,0,5,56.0,56.0,0.0,56.0,56.0,28.0,28.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0009379399882163853,0.0009406000026501715,pass,,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,22e05ea2e1684256cfcefc889a4c658b5530de8a
