family,instance_id,n_design_draws,representation,routing_overhead,swap_count,topology_id,two_qubit_depth,two_qubit_gates
cubic_spin_glass,inst_16c9f5951f44e0cdcb5bd2aaf536929247d827649204d1d7616835284c4f9cdc,1,all_native,0.0,0.0,all_to_all_reference,43.0,80.0
cubic_spin_glass,inst_16c9f5951f44e0cdcb5bd2aaf536929247d827649204d1d7616835284c4f9cdc,1,fully_quadratized,0.0,0.0,all_to_all_reference,44.0,208.0
cubic_spin_glass,inst_16c9f5951f44e0cdcb5bd2aaf536929247d827649204d1d7616835284c4f9cdc,5,matched_random_selective,0.0,0.0,all_to_all_reference,43.0,80.0
cubic_spin_glass,inst_16c9f5951f44e0cdcb5bd2aaf536929247d827649204d1d7616835284c4f9cdc,1,selective,0.0,0.0,all_to_all_reference,43.0,80.0
cubic_spin_glass,inst_197b36f95eb8e50c23f40079363564c5b46bf91fe6289146a90e6138187c5952,1,all_native,0.0,0.0,all_to_all_reference,73.0,96.0
cubic_spin_glass,inst_197b36f95eb8e50c23f40079363564c5b46bf91fe6289146a90e6138187c5952,1,fully_quadratized,0.0,0.0,all_to_all_reference,48.0,126.0
cubic_spin_glass,inst_197b36f95eb8e50c23f40079363564c5b46bf91fe6289146a90e6138187c5952,5,matched_random_selective,0.0,0.0,all_to_all_reference,73.0,96.0
cubic_spin_glass,inst_197b36f95eb8e50c23f40079363564c5b46bf91fe6289146a90e6138187c5952,1,selective,0.0,0.0,all_to_all_reference,73.0,96.0
cubic_spin_glass,inst_1e8d2ca8dea323e76f3e0aedd094066ab28417574610dbcc8dead14c8acc86d1,1,all_native,0.0,0.0,all_to_all_reference,38.0,48.0
cubic_spin_glass,inst_1e8d2ca8dea323e76f3e0aedd094066ab28417574610dbcc8dead14c8acc86d1,1,fully_quadratized,0.0,0.0,all_to_all_reference,34.0,112.0
cubic_spin_glass,inst_1e8d2ca8dea323e76f3e0aedd094066ab28417574610dbcc8dead14c8acc86d1,5,matched_random_selective,0.0,0.0,all_to_all_reference,38.0,48.0
cubic_spin_glass,inst_1e8d2ca8dea323e76f3e0aedd094066ab28417574610dbcc8dead14c8acc86d1,1,selective,0.0,0.0,all_to_all_reference,38.0,48.0
cubic_spin_glass,inst_1f1fc2972a067dd5ad79a2770384dc5867b18b0cf6ed6f50bf88e0b0af724532,1,all_native,0.0,0.0,all_to_all_reference,126.0,128.0
cubic_spin_glass,inst_1f1fc2972a067dd5ad79a2770384dc5867b18b0cf6ed6f50bf88e0b0af724532,1,fully_quadratized,0.0,0.0,all_to_all_reference,40.0,126.0
cubic_spin_glass,inst_1f1fc2972a067dd5ad79a2770384dc5867b18b0cf6ed6f50bf88e0b0af724532,5,matched_random_selective,0.0,0.0,all_to_all_reference,92.2,163.2
