budget_key,budget_mode,instance_id,metric,new_classification,new_effect,new_status,old_classification,old_effect,old_status,topology_id
not_applicable,not_applicable,inst_1fdccd0ea073b5ce489dd04bf55aa58692c93d7a6e8030ea54f69d187a8b67bc,routing_overhead,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_282c742887e5c98fde17b21ba08676c33dcd0d2b564db9120176704b8a84467b,compiled_two_qubit_gates,help,0.1347270615563298,pass,help,0.1474654377880184,pass,all_to_all_reference
not_applicable,not_applicable,inst_282c742887e5c98fde17b21ba08676c33dcd0d2b564db9120176704b8a84467b,compiled_two_qubit_depth,help,0.40663176265270506,pass,help,0.4269102990033223,pass,all_to_all_reference
not_applicable,not_applicable,inst_282c742887e5c98fde17b21ba08676c33dcd0d2b564db9120176704b8a84467b,routing_overhead,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_282c742887e5c98fde17b21ba08676c33dcd0d2b564db9120176704b8a84467b,compiled_two_qubit_gates,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_282c742887e5c98fde17b21ba08676c33dcd0d2b564db9120176704b8a84467b,compiled_two_qubit_depth,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_282c742887e5c98fde17b21ba08676c33dcd0d2b564db9120176704b8a84467b,routing_overhead,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_28ff20a6c0731a37ed804a7e8e137c72f43ecb16c06242490c2839e435a3c9c9,compiled_two_qubit_gates,help,0.09984871406959145,pass,help,0.12254160363086224,pass,all_to_all_reference
not_applicable,not_applicable,inst_28ff20a6c0731a37ed804a7e8e137c72f43ecb16c06242490c2839e435a3c9c9,compiled_two_qubit_depth,help,0.41929133858267714,pass,help,0.43897637795275585,pass,all_to_all_reference
not_applicable,not_applicable,inst_28ff20a6c0731a37ed804a7e8e137c72f43ecb16c06242490c2839e435a3c9c9,routing_overhead,little_effect,0.0,pass,little_effect,0.0,pass,all_to_all_reference
not_applicable,not_applicable,inst_28ff20a6c0731a37ed804a7e8e137c72f43ecb16c06242490c2839e435a3c9c9,compiled_two_qubit_gates,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
not_applicable,not_applicable,inst_28ff20a6c0731a37ed804a7e8e137c72f43ecb16c06242490c2839e435a3c9c9,compiled_two_qubit_depth,not_estimable,,expected_infeasible,not_estimable,,expected_infeasible,device_sparse_v1
