family,instance_id,representation,routing_overhead,swap_count,topology_id,two_qubit_depth,two_qubit_gates
cubic_spin_glass,inst_1e8d2ca8dea323e76f3e0aedd094066ab28417574610dbcc8dead14c8acc86d1,selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_1e8d2ca8dea323e76f3e0aedd094066ab28417574610dbcc8dead14c8acc86d1,matched_random_selective,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_1f1fc2972a067dd5ad79a2770384dc5867b18b0cf6ed6f50bf88e0b0af724532,fully_quadratized,0.0,0.0,all_to_all_reference,-86.0,-2.0
cubic_spin_glass,inst_1f1fc2972a067dd5ad79a2770384dc5867b18b0cf6ed6f50bf88e0b0af724532,selective,0.0,0.0,all_to_all_reference,-61.0,20.0
cubic_spin_glass,inst_1f1fc2972a067dd5ad79a2770384dc5867b18b0cf6ed6f50bf88e0b0af724532,matched_random_selective,0.0,0.0,all_to_all_reference,-33.8,35.19999999999999
cubic_spin_glass,inst_23322d07d78ec2442f79a933696c3d2708be62e01712e6cae79bb131a75b314c,fully_quadratized,0.0,0.0,all_to_all_reference,-42.0,48.0
cubic_spin_glass,inst_23322d07d78ec2442f79a933696c3d2708be62e01712e6cae79bb131a75b314c,selective,0.0,0.0,all_to_all_reference,-30.0,26.0
cubic_spin_glass,inst_23322d07d78ec2442f79a933696c3d2708be62e01712e6cae79bb131a75b314c,matched_random_selective,0.0,0.0,all_to_all_reference,2.4000000000000057,15.199999999999989
cubic_spin_glass,inst_2578bb3c4c83da80aec8fb5980e49dedc3450aae4bbc14c0eabca47881b8a912,fully_quadratized,0.0,0.0,all_to_all_reference,-50.0,42.0
cubic_spin_glass,inst_2578bb3c4c83da80aec8fb5980e49dedc3450aae4bbc14c0eabca47881b8a912,selective,0.0,0.0,all_to_all_reference,-55.0,8.0
cubic_spin_glass,inst_2578bb3c4c83da80aec8fb5980e49dedc3450aae4bbc14c0eabca47881b8a912,matched_random_selective,0.0,0.0,all_to_all_reference,0.7999999999999972,22.400000000000006
cubic_spin_glass,inst_28501defa541901199d0158698324fd95f401371b2edf79721692768a6c991e2,fully_quadratized,0.0,0.0,all_to_all_reference,-89.0,0.0
cubic_spin_glass,inst_28501defa541901199d0158698324fd95f401371b2edf79721692768a6c991e2,selective,0.0,0.0,all_to_all_reference,-64.0,20.0
cubic_spin_glass,inst_28501defa541901199d0158698324fd95f401371b2edf79721692768a6c991e2,matched_random_selective,0.0,0.0,all_to_all_reference,-5.599999999999994,42.400000000000006
cubic_spin_glass,inst_29626af5a49c14ecc2c2040c11341eeaa8dded055a83fdf07387d51f5846dda9,fully_quadratized,0.0,0.0,all_to_all_reference,-131.0,36.0
cubic_spin_glass,inst_29626af5a49c14ecc2c2040c11341eeaa8dded055a83fdf07387d51f5846dda9,selective,0.0,0.0,all_to_all_reference,-60.0,38.0
cubic_spin_glass,inst_29626af5a49c14ecc2c2040c11341eeaa8dded055a83fdf07387d51f5846dda9,matched_random_selective,0.0,0.0,all_to_all_reference,-3.4000000000000057,44.39999999999998
cubic_spin_glass,inst_2b120f46ab783ce0aa9b4822502780d50c164c50f8bccaebc930a325a4ae0290,fully_quadratized,0.0,0.0,all_to_all_reference,-67.0,6.0
cubic_spin_glass,inst_2b120f46ab783ce0aa9b4822502780d50c164c50f8bccaebc930a325a4ae0290,selective,0.0,0.0,all_to_all_reference,-19.0,8.0
cubic_spin_glass,inst_2b120f46ab783ce0aa9b4822502780d50c164c50f8bccaebc930a325a4ae0290,matched_random_selective,0.0,0.0,all_to_all_reference,-1.4000000000000057,23.599999999999994
cubic_spin_glass,inst_33ce7979cf1de88d35d3c355c345fd7635ea96da4c2a6583f60e1e979f21938a,fully_quadratized,0.0,0.0,all_to_all_reference,-64.0,22.0
cubic_spin_glass,inst_33ce7979cf1de88d35d3c355c345fd7635ea96da4c2a6583f60e1e979f21938a,selective,0.0,0.0,all_to_all_reference,-36.0,20.0
cubic_spin_glass,inst_33ce7979cf1de88d35d3c355c345fd7635ea96da4c2a6583f60e1e979f21938a,matched_random_selective,0.0,0.0,all_to_all_reference,-18.599999999999994,38.80000000000001
cubic_spin_glass,inst_340b7c11203c8b094cacd70e68df48254aa477b67ecdea9afb9cc374b8dcb4a7,fully_quadratized,0.0,0.0,all_to_all_reference,-178.0,106.0
