analysis_config_hash,budget_key,budget_mode,code_commit,config_hash,effect_ci95_high,effect_ci95_low,family,help_count,help_fraction,hurt_count,hurt_fraction,instance_count,little_effect_count,little_effect_fraction,manifest_hash,mean_canonical_cubic_sparsity,mean_effect,mean_pair_reuse_score,metric,pair_reuse_bin,source_tier,sparsity_bin,status,topology_id,uncertainty_unit_count,view
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.2242467047312614,-0.003872483341534616,cubic_spin_glass,1,0.5,0,0.0,2,1,0.5,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.5714285714285714,0.1101871106948634,0.7135416666666666,compiled_two_qubit_gates,high,compilation,high,pass,device_sparse_v1,2,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,2,2,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.2857142857142857,0.0,0.47916666666666663,compiled_two_qubit_gates,intermediate,compilation,high,pass,device_sparse_v1,2,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,1,1,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.14285714285714285,0.0,0.33333333333333337,compiled_two_qubit_gates,intermediate,compilation,intermediate,pass,device_sparse_v1,1,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,1,1,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.14285714285714285,0.0,0.20833333333333337,compiled_two_qubit_gates,low,compilation,intermediate,pass,device_sparse_v1,1,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,1,1,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.05454545454545454,0.0,0.19444444444444442,compiled_two_qubit_gates,low,compilation,low,pass,device_sparse_v1,1,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,2,2,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.5714285714285714,0.0,0.7135416666666666,routing_overhead,high,compilation,high,pass,all_to_all_reference,2,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,2,2,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.2857142857142857,0.0,0.47916666666666663,routing_overhead,intermediate,compilation,high,pass,all_to_all_reference,2,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,1,1,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.11428571428571428,0.0,0.5208333333333333,routing_overhead,high,compilation,intermediate,pass,all_to_all_reference,1,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,3,3,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.12207792207792208,0.0,0.421875,routing_overhead,intermediate,compilation,intermediate,pass,all_to_all_reference,3,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,1,1,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.14285714285714285,0.0,0.20833333333333337,routing_overhead,low,compilation,intermediate,pass,all_to_all_reference,1,family
