family,instance_id,routing_overhead,swap_count,topology_id,two_qubit_depth,two_qubit_gates
cubic_spin_glass,inst_620a5d32d7187d6870f30ec729690f838c6c03717c12d08920f9cb1a5c444ccd,0.0,0.0,all_to_all_reference,-19.599999999999994,0.0
cubic_spin_glass,inst_623ed3fa24dead6f0f9dd1096cce82dc9a048bf774730e23b964d7d43607fd83,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_629843195526c2b817edb433d2bf81dc1c9d7d1b6b358890ba16bbbcd422ab15,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_64ff32844bde505ea188f6df7a2e54fe41e88061d38144bbd304285bc823e766,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_67f4e4fa7cd1382fcc03d558ad19ac0420a74e3749bd90c0167e795417192422,0.0,0.0,all_to_all_reference,-50.400000000000006,-1.1999999999999886
cubic_spin_glass,inst_6969ca061e6a5a0b4350ccfb99da5386eb70d23ece3e7ffa0101e3a9c6305d74,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_6a06eec6c612c29ba46b89da361fc8b89d4e4e985e548b9c5d20da503d9b6f95,0.0,0.0,all_to_all_reference,-45.599999999999994,-20.400000000000006
cubic_spin_glass,inst_6ad9548a92747aff9a6795f1c5b99d2304f005ac72fb8084bdc0b85e2e6b4c72,0.0,0.0,all_to_all_reference,-30.400000000000006,-19.19999999999999
cubic_spin_glass,inst_6b16c179affcc9148d858478cbc1dac715c4665ff957ce51abd50e9aa1408c4b,0.0,0.0,all_to_all_reference,-20.799999999999997,0.0
cubic_spin_glass,inst_6b39d1a73c909fe62fea28132fe796da14083eef65020e77cf56f6f6be6b578d,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_6c945daac216f453a50715a1baa7e8a40f19ae2e62bd0a5f5ec4ecd7e3881303,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_6de219ee046e11cc6b3925b66cc25f0b4641e502623cd3aa766407f918c53235,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_6e8e29b178b0429786c8a2bff968eb63511358e6ddec0fe591285ea24a8d1c6d,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_6ea539895de41953dcf8585c9c5a14620e89386260235c3b1468a17d57ab2b23,0.0,0.0,all_to_all_reference,0.0,0.0
cubic_spin_glass,inst_70cd92fd1145b443443914cb7d2dd37eebe868cb4f6e2e0cd99cc6f5fceb49f1,0.0,0.0,all_to_all_reference,0.0,0.0
