scope,study,family,representation,budget_key,depth_stratum,policy,metric,n_instances,mean,sd,ci95_low,ci95_high,df,ci_status,zero_depth_instance_count,ci_unit,ci_method,multiplicity
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_2q_budget_256,positive_depth_only,cold,encoded_energy_mean,7,-2.943898081938928,0.9012530093383164,-3.777418095784313,-2.110378068093543,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_2q_budget_256,positive_depth_only,cold,optimum_hit_rate,7,0.18199768917602013,0.18498162612552058,0.010918218736874319,0.35307715961516595,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_2q_budget_256,positive_depth_only,cold,auxiliary_inconsistency_rate,7,0.0,0.0,0.0,0.0,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_2q_budget_256,positive_depth_only,cold,statevector_norm,7,1.0,5.224287381113247e-16,0.9999999999999996,1.0000000000000004,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_2q_budget_256,positive_depth_only,original_only,original_objective_mean,7,-2.737634505558708,1.3473089999310843,-3.983687505815608,-1.4915815053018084,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_2q_budget_256,positive_depth_only,original_only,encoded_energy_mean,7,-2.737634505558708,1.3473089999310843,-3.983687505815608,-1.4915815053018084,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_2q_budget_256,positive_depth_only,original_only,optimum_hit_rate,7,0.18546264895256953,0.14167465903198823,0.05443544290242658,0.3164898550027125,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_2q_budget_256,positive_depth_only,original_only,auxiliary_inconsistency_rate,7,0.0,0.0,0.0,0.0,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_2q_budget_256,positive_depth_only,original_only,statevector_norm,7,1.0000000000000004,6.441845274070438e-16,0.9999999999999999,1.000000000000001,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,all_scheduled,cold,original_objective_mean,7,-2.347479639815545,0.8531609918196278,-3.136521955730734,-1.5584373239003562,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,all_scheduled,cold,encoded_energy_mean,7,-2.347479639815545,0.8531609918196278,-3.136521955730734,-1.5584373239003562,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,all_scheduled,cold,optimum_hit_rate,7,0.12794741884084462,0.1528615530522506,-0.013425938580822527,0.2693207762625118,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
