scope,study,family,representation,budget_key,depth_stratum,contrast,metric,n_instances,mean,sd,ci95_low,ci95_high,df,ci_status,zero_depth_instance_count,ci_unit,ci_method,multiplicity
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,all_scheduled,original_only_minus_cold,original_objective_mean,7,0.46110652168979727,0.4534719834035784,0.04171488585764699,0.8804981575219475,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,all_scheduled,original_only_minus_cold,encoded_energy_mean,7,0.46110652168979727,0.4534719834035784,0.04171488585764699,0.8804981575219475,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,all_scheduled,original_only_minus_cold,optimum_hit_rate,7,-0.012044058806890532,0.06235053760990207,-0.06970868842075278,0.045620570806971725,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,all_scheduled,original_only_minus_cold,auxiliary_inconsistency_rate,7,0.0,0.0,0.0,0.0,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,all_scheduled,original_only_minus_cold,statevector_norm,7,1.427429603089487e-16,5.235510352975821e-16,-3.414609887135305e-16,6.269469093314279e-16,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,positive_depth_only,original_only_minus_cold,original_objective_mean,7,0.46110652168979727,0.4534719834035784,0.04171488585764699,0.8804981575219475,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,positive_depth_only,original_only_minus_cold,encoded_energy_mean,7,0.46110652168979727,0.4534719834035784,0.04171488585764699,0.8804981575219475,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,positive_depth_only,original_only_minus_cold,optimum_hit_rate,7,-0.012044058806890532,0.06235053760990207,-0.06970868842075278,0.045620570806971725,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,positive_depth_only,original_only_minus_cold,auxiliary_inconsistency_rate,7,0.0,0.0,0.0,0.0,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
all_designs_diagnostic,original_e4,cubic_spin_glass,all_native,equal_layer_p1,positive_depth_only,original_only_minus_cold,statevector_norm,7,1.427429603089487e-16,5.235510352975821e-16,-3.414609887135305e-16,6.269469093314279e-16,6,estimated,0,raw_instance,two_sided_Student_t_95_df_n_minus_1,unadjusted_exploratory
