study,family,instance_id,representation,budget_key,depth_stratum,contrast,draw_count,zero_depth_draw_count,original_objective_mean,encoded_energy_mean,optimum_hit_rate,auxiliary_inconsistency_rate,statevector_norm
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p2,positive_depth_only,pair_minus_independence,1,0,-0.9715903709409217,-1.2830126315003163,0.0015187101549091345,-0.0025293821351523027,6.661338147750939e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p1,all_scheduled,pair_minus_cold,1,0,-0.06336575155713048,-15.728867879423163,0.0026356631299120394,-0.012262173071127758,-3.3306690738754696e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p1,all_scheduled,original_only_minus_cold,1,0,-0.07370312902728432,-8.281901151647936,0.010716455550998757,0.011536960233292093,5.551115123125783e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p1,all_scheduled,independence_minus_cold,1,0,-0.1013970538595177,-6.178337441446274,0.011297104201451542,0.008365303399859525,-4.440892098500626e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p1,all_scheduled,pair_minus_original_only,1,0,0.010337377470153841,-7.4469667277752265,-0.008080792421086717,-0.02379913330441985,-8.881784197001252e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p1,all_scheduled,pair_minus_independence,1,0,0.038031302302387215,-9.550530437976889,-0.008661441071539502,-0.020627476470987283,1.1102230246251565e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p1,positive_depth_only,pair_minus_cold,1,0,-0.06336575155713048,-15.728867879423163,0.0026356631299120394,-0.012262173071127758,-3.3306690738754696e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p1,positive_depth_only,original_only_minus_cold,1,0,-0.07370312902728432,-8.281901151647936,0.010716455550998757,0.011536960233292093,5.551115123125783e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p1,positive_depth_only,independence_minus_cold,1,0,-0.1013970538595177,-6.178337441446274,0.011297104201451542,0.008365303399859525,-4.440892098500626e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p1,positive_depth_only,pair_minus_original_only,1,0,0.010337377470153841,-7.4469667277752265,-0.008080792421086717,-0.02379913330441985,-8.881784197001252e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p1,positive_depth_only,pair_minus_independence,1,0,0.038031302302387215,-9.550530437976889,-0.008661441071539502,-0.020627476470987283,1.1102230246251565e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,all_scheduled,pair_minus_cold,1,0,0.09537506784350719,-2.1966412827919015,-0.010178026353697248,0.001462758953865051,-2.220446049250313e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,all_scheduled,original_only_minus_cold,1,0,0.19674187866584986,4.0852201664044685,-0.014311602163310448,0.010929489032846407,-5.551115123125783e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,all_scheduled,independence_minus_cold,1,0,0.17522041101327218,-3.4868481398713556,-0.0007094018491113976,-0.00606865893514652,0.0
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,all_scheduled,pair_minus_original_only,1,0,-0.10136681082234267,-6.28186144919637,0.0041335758096132,-0.009466730078981356,3.3306690738754696e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,all_scheduled,pair_minus_independence,1,0,-0.07984534316976499,1.290206857079454,-0.00946862450458585,0.007531417889011571,-2.220446049250313e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,positive_depth_only,pair_minus_cold,1,0,0.09537506784350719,-2.1966412827919015,-0.010178026353697248,0.001462758953865051,-2.220446049250313e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,positive_depth_only,original_only_minus_cold,1,0,0.19674187866584986,4.0852201664044685,-0.014311602163310448,0.010929489032846407,-5.551115123125783e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,positive_depth_only,independence_minus_cold,1,0,0.17522041101327218,-3.4868481398713556,-0.0007094018491113976,-0.00606865893514652,0.0
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,positive_depth_only,pair_minus_original_only,1,0,-0.10136681082234267,-6.28186144919637,0.0041335758096132,-0.009466730078981356,3.3306690738754696e-16
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,positive_depth_only,pair_minus_independence,1,0,-0.07984534316976499,1.290206857079454,-0.00946862450458585,0.007531417889011571,-2.220446049250313e-16
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,all_scheduled,pair_minus_cold,1,0,-0.6274273696184025,-16.29836847815679,-0.0049070592250248166,-0.06055298792923458,1.2212453270876722e-15
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,all_scheduled,original_only_minus_cold,1,0,-0.20133021350583347,-7.4636079733110705,-0.0058745537162018715,-0.01617857153844038,1.2212453270876722e-15
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,all_scheduled,independence_minus_cold,1,0,0.11355076559190769,-19.73786423630757,-0.005498470349794168,-0.08515069259283536,5.551115123125783e-16
