study,family,instance_id,representation,budget_key,policy,depth_stratum,original_objective_mean,encoded_energy_mean,optimum_hit_rate,auxiliary_inconsistency_rate,statevector_norm,draw_count,restart_count,zero_depth_draw_count,draw_ids,depths
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p1,pair,positive_depth_only,-0.4428621364768231,39.66001544428902,0.03305671350475301,0.9562794854678573,0.9999999999999996,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p1,independence,all_scheduled,-0.4808934387792103,49.21054588226591,0.041718154576292514,0.9769069619388446,0.9999999999999994,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p1,independence,positive_depth_only,-0.4808934387792103,49.21054588226591,0.041718154576292514,0.9769069619388446,0.9999999999999994,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,cold,all_scheduled,-0.5777490457780278,46.96632909051842,0.03986028559639424,0.9568893790896055,1.0000000000000002,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,cold,positive_depth_only,-0.5777490457780278,46.96632909051842,0.03986028559639424,0.9568893790896055,1.0000000000000002,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,original_only,all_scheduled,-0.3810071671121779,51.05154925692289,0.025548683433083794,0.9678188681224519,0.9999999999999997,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,original_only,positive_depth_only,-0.3810071671121779,51.05154925692289,0.025548683433083794,0.9678188681224519,0.9999999999999997,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,pair,all_scheduled,-0.4823739779345206,44.76968780772652,0.029682259242696993,0.9583521380434705,1.0,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,pair,positive_depth_only,-0.4823739779345206,44.76968780772652,0.029682259242696993,0.9583521380434705,1.0,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,independence,all_scheduled,-0.4025286347647556,43.479480950647066,0.039150883747282844,0.950820720154459,1.0000000000000002,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,independence,positive_depth_only,-0.4025286347647556,43.479480950647066,0.039150883747282844,0.950820720154459,1.0000000000000002,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,cold,all_scheduled,-2.056491488132067,51.46358290252653,0.008364430034694458,0.9536221619435691,0.9999999999999994,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,cold,positive_depth_only,-2.056491488132067,51.46358290252653,0.008364430034694458,0.9536221619435691,0.9999999999999994,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,original_only,all_scheduled,-2.2578217016379005,43.99997492921546,0.002489876318492587,0.9374435904051287,1.0000000000000007,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,original_only,positive_depth_only,-2.2578217016379005,43.99997492921546,0.002489876318492587,0.9374435904051287,1.0000000000000007,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,pair,all_scheduled,-2.6839188577504696,35.16521442436974,0.0034573708096696416,0.8930691740143345,1.0000000000000007,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,pair,positive_depth_only,-2.6839188577504696,35.16521442436974,0.0034573708096696416,0.8930691740143345,1.0000000000000007,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,independence,all_scheduled,-1.9429407225401594,31.725718666218963,0.002865959684900291,0.8684714693507337,1.0,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,independence,positive_depth_only,-1.9429407225401594,31.725718666218963,0.002865959684900291,0.8684714693507337,1.0,1,3,0,"[""""]",[1]
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,cold,all_scheduled,-0.859982041760165,41.39789732461467,0.006165109850534684,0.9473385717612239,0.9999999999999999,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,cold,positive_depth_only,-0.859982041760165,41.39789732461467,0.006165109850534684,0.9473385717612239,0.9999999999999999,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,original_only,all_scheduled,-1.0601693383580513,48.57470820959842,0.004869921531572397,0.96270977373046,1.0000000000000009,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,original_only,positive_depth_only,-1.0601693383580513,48.57470820959842,0.004869921531572397,0.96270977373046,1.0000000000000009,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,pair,all_scheduled,-0.5679002307826391,57.90851576711878,0.0084356026101048,0.9683748891816076,1.0,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,pair,positive_depth_only,-0.5679002307826391,57.90851576711878,0.0084356026101048,0.9683748891816076,1.0,1,3,0,"[""""]",[2]
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,independence,all_scheduled,-1.1596528630236214,49.40706986186907,0.0078599871372535,0.9622654566106147,1.000000000000001,1,3,0,"[""""]",[2]
