event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.000610699993558228,0,0,1,0.0,0.253125,0.253125
incumbent_update,0.005646699981298298,9,2,20,0.009895833333333333,0.24427083333333333,0.234375
incumbent_update,0.007920400006696582,17,4,36,0.013020833333333334,0.24427083333333333,0.23125
incumbent_update,0.01256850000936538,27,11,38,0.013802083333333333,0.24348958333333334,0.2296875
incumbent_update,0.015615599986631423,39,15,58,0.014583333333333334,0.23255208333333333,0.21796875
incumbent_update,0.016114600002765656,41,16,60,0.018489583333333334,0.23255208333333333,0.2140625
incumbent_update,0.04652999999234453,141,80,104,0.022916666666666665,0.22682291666666668,0.20390625
node_interval,0.09215450001647696,256,174,73,0.03046875,0.22682291666666668,0.19635416666666666
proof_complete,0.12952109996695071,341,256,0,0.22682291666666668,0.22682291666666668,0.0
