event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.00076299998909235,0,0,1,0.0,0.1640625,0.1640625
node_interval,0.0829290000256151,256,133,237,0.023697916666666666,0.1640625,0.14036458333333332
node_interval,0.1693628000211902,512,326,233,0.03203125,0.1640625,0.13203125
node_interval,0.25324709998676553,768,490,345,0.03619791666666667,0.1640625,0.12786458333333334
node_interval,0.34254790004342794,1024,718,201,0.040364583333333336,0.1640625,0.12369791666666667
node_interval,0.4380425999988802,1280,939,85,0.04869791666666667,0.1640625,0.11536458333333334
proof_complete,0.47312560002319515,1365,1024,0,0.1640625,0.1640625,0.0
