event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0006552000413648784,0,0,1,0.0,0.1640625,0.1640625
node_interval,0.07070120004937053,256,136,225,0.023697916666666666,0.1640625,0.14036458333333332
node_interval,0.16098920005606487,512,321,253,0.03203125,0.1640625,0.13203125
node_interval,0.2627457000198774,768,495,325,0.03203125,0.1640625,0.13203125
node_interval,0.3761720000184141,1024,708,241,0.040364583333333336,0.1640625,0.12369791666666667
node_interval,0.4831222000066191,1280,939,85,0.04869791666666667,0.1640625,0.11536458333333334
proof_complete,0.5168335000053048,1365,1024,0,0.1640625,0.1640625,0.0
