event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0007450000266544521,0,0,1,0.0,0.2578125,0.2578125
node_interval,0.0796025000163354,256,85,429,0.023697916666666666,0.2578125,0.23411458333333332
node_interval,0.170837500016205,512,198,745,0.023697916666666666,0.2578125,0.23411458333333332
node_interval,0.2564682000083849,768,306,1081,0.023697916666666666,0.2578125,0.23411458333333332
node_interval,0.33767450001323596,1024,385,1533,0.023697916666666666,0.2578125,0.23411458333333332
node_interval,0.4521740000345744,1280,458,2009,0.029947916666666668,0.2578125,0.22786458333333334
node_interval,0.5521810000063851,1536,606,2185,0.029947916666666668,0.2578125,0.22786458333333334
node_interval,0.6545629000174813,1792,732,2449,0.029947916666666668,0.2578125,0.22786458333333334
node_interval,0.7566996000241488,2048,839,2789,0.029947916666666668,0.2578125,0.22786458333333334
node_interval,0.8541698000044562,2304,1009,2877,0.03203125,0.2578125,0.22578125
node_interval,0.9533624000032432,2560,1172,2993,0.03203125,0.2578125,0.22578125
node_interval,1.089886000030674,2816,1321,3165,0.03203125,0.2578125,0.22578125
node_interval,1.1988981000031345,3072,1464,3361,0.03203125,0.2578125,0.22578125
node_interval,1.296645800000988,3328,1603,3573,0.03203125,0.2578125,0.22578125
node_interval,1.398649499984458,3584,1739,3797,0.03203125,0.2578125,0.22578125
node_interval,1.5267489000107162,3840,1891,3957,0.03203125,0.2578125,0.22578125
node_interval,1.6436965999891981,4096,2016,4225,0.03203125,0.2578125,0.22578125
node_interval,1.7487872000201605,4352,2155,4437,0.03203125,0.2578125,0.22578125
node_interval,1.8578438999829814,4608,2279,4709,0.03203125,0.2578125,0.22578125
node_interval,1.9634810999850743,4864,2393,5021,0.03203125,0.2578125,0.22578125
node_interval,2.065206600003876,5120,2492,5393,0.03203125,0.2578125,0.22578125
node_interval,2.161777000001166,5376,2614,5673,0.03203125,0.2578125,0.22578125
node_interval,2.305936800024938,5632,2741,5933,0.03203125,0.2578125,0.22578125
node_interval,2.44308739999542,5888,2867,6197,0.03203125,0.2578125,0.22578125
node_interval,2.5425394999911077,6144,2981,6509,0.03203125,0.2578125,0.22578125
node_interval,2.647624499979429,6400,3080,6881,0.03203125,0.2578125,0.22578125
node_interval,2.7808876000344753,6656,3189,7213,0.03619791666666667,0.2578125,0.22161458333333334
node_interval,2.8967207000241615,6912,3335,7397,0.03828125,0.2578125,0.21953125
node_interval,3.0344789000228047,7168,3514,7449,0.03828125,0.2578125,0.21953125
node_interval,3.1721154000260867,7424,3695,7493,0.03828125,0.2578125,0.21953125
node_interval,3.276105600001756,7680,3853,7629,0.03828125,0.2578125,0.21953125
node_interval,3.3870128000271507,7936,4030,7689,0.03828125,0.2578125,0.21953125
node_interval,3.506749199994374,8192,4202,7769,0.03828125,0.2578125,0.21953125
node_interval,3.615139300003648,8448,4350,7945,0.03828125,0.2578125,0.21953125
node_interval,3.734139700012747,8704,4486,8169,0.03828125,0.2578125,0.21953125
node_interval,3.844681299990043,8960,4651,8277,0.03828125,0.2578125,0.21953125
node_interval,3.957585000025574,9216,4799,8453,0.03828125,0.2578125,0.21953125
node_interval,4.069043399998918,9472,4955,8597,0.03828125,0.2578125,0.21953125
node_interval,4.183944699994754,9728,5102,8777,0.03828125,0.2578125,0.21953125
node_interval,4.291881799988914,9984,5257,8925,0.03828125,0.2578125,0.21953125
node_interval,4.399462600005791,10240,5408,9089,0.03828125,0.2578125,0.21953125
node_interval,4.503344600030687,10496,5542,9321,0.03828125,0.2578125,0.21953125
node_interval,4.610827399999835,10752,5681,9533,0.03828125,0.2578125,0.21953125
node_interval,4.719112400023732,11008,5878,9481,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,4.817639800021425,11264,6092,9290,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,4.925087400013581,11520,6280,9142,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,5.057791500003077,11776,6455,9008,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,5.18160650000209,12032,6644,8876,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,5.301605999993626,12288,6840,8733,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,5.407148200029042,12544,7004,8617,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,5.522524600033648,12800,7157,8515,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,5.63494640000863,13056,7303,8441,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,5.742010599991772,13312,7500,8298,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,5.851054200029466,13568,7687,8150,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,5.958227200026158,13824,7873,8004,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,6.065977599995676,14080,8029,7895,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,6.177098100015428,14336,8201,7805,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,6.284759400004987,14592,8387,7668,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,6.395387800002936,14848,8554,7548,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,6.501463400025386,15104,8690,7461,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,6.609677899978124,15360,8843,7409,0.040364583333333336,0.2578125,0.21744791666666666
node_interval,6.712885999993887,15616,9035,7251,0.040364583333333336,0.2578125,0.21744791666666666
