instance_id,family,representation,n_original,n_auxiliary,n_qubits,retained_cubic_terms,quadratic_couplings,maximum_penalty,pauli_weight_1,pauli_weight_2,pauli_weight_3,two_qubit_gate_count,two_qubit_depth,swap_count,pubo_coefficient_dynamic_range,pauli_coefficient_dynamic_range,coefficient_dynamic_range_stage,pauli_terms_sha256,cnot_stream_sha256,compiler_id
inst_ddfdca5e8008d406e1818d8b24a2e2032ccad88d690211726c0b94b4328e11d1,max3sat,all_native,6,0,6,7,13,0.0,6,14,7,56,40,0,9.0,34.0,both_collected_pubo_and_collected_pauli_pre_synthesis,ed2f675e7c308d34cda910c501f513b10997db38e1d321435ed5eff3f1c81a88,4db93f6fb5a667fd8dad541db28271a1b50a37c65d46d374fbf8c84e703b6116,paper_all_to_all_reference_v1
inst_ddfdca5e8008d406e1818d8b24a2e2032ccad88d690211726c0b94b4328e11d1,max3sat,fully_quadratized,6,2,8,0,24,14.0,8,24,0,48,24,0,42.0,96.0,both_collected_pubo_and_collected_pauli_pre_synthesis,ce7b7317c12aaaad065ec6ee0ab12845f183e66de20de073a81d83e6fb4f69c2,fd87d79f7b8828f63d1104cd0144d786b0f9002663bafa9ee35de06f85243138,paper_all_to_all_reference_v1
inst_b13fae1e914bcd5b2313eafa3569766820b5f96ad14a49b08739d8a384c8130a,cubic_spin_glass,all_native,6,0,6,6,10,0.0,0,0,6,24,23,0,8.0,1.0,both_collected_pubo_and_collected_pauli_pre_synthesis,df90621b9398ebf8ea15008a0f7c60bfae3982251e372b925eee96f208657e0a,6d576385b9fdc6697ed90b4f76988a1e9372285a37b2e3fce997f3a7299db571,paper_all_to_all_reference_v1
inst_b13fae1e914bcd5b2313eafa3569766820b5f96ad14a49b08739d8a384c8130a,cubic_spin_glass,fully_quadratized,6,2,8,0,20,25.0,7,20,0,40,22,0,37.5,27.5,both_collected_pubo_and_collected_pauli_pre_synthesis,5675872f23e93bb63fefbaeaaf937b523d5b9a7313f9f0f83a4e394542b3e9d5,c7b696f22b262e0714f85eed074df3fd78b840a434a45d3fe68386511fda48c1,paper_all_to_all_reference_v1
