actions_json,beam_width,code_commit,config_hash,family,fibre_threshold,instance_id,maximum_penalty,method,n_auxiliary,normalised_fibre_excess,penalty_margin,resource_score,status,two_qubit_depth,two_qubit_gates,variant_id,weights_json
"[null,null,null,null,null,null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,cubic_spin_glass,0.0,inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,0.0,deterministic_pareto_beam,0,0.0,1.0,0.1734375,pass,19,24,tau_0.0,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[null,null,null,null,null,null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,cubic_spin_glass,0.01,inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,0.0,deterministic_pareto_beam,0,0.0,1.0,0.1734375,pass,19,24,tau_0.01,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[null,null,null,null,null,null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,cubic_spin_glass,0.05,inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,0.0,deterministic_pareto_beam,0,0.0,1.0,0.1734375,pass,19,24,tau_0.05,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[null,null,null,null,null,null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,cubic_spin_glass,0.1,inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,0.0,deterministic_pareto_beam,0,0.0,1.0,0.1734375,pass,19,24,tau_0.1,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[null,null,null,null,null,null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,cubic_spin_glass,0.02,inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,0.0,deterministic_pareto_beam,0,0.0,0.5,0.1734375,pass,19,24,margin_0.5,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[null,null,null,null,null,null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,cubic_spin_glass,0.02,inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,0.0,deterministic_pareto_beam,0,0.0,2.0,0.1734375,pass,19,24,margin_2.0,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[null,null,null,null,null,null]",not_applicable,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,cubic_spin_glass,0.02,inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,0.0,greedy,0,0.0,1.0,0.1734375,pass,19,24,baseline_greedy,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[[2,3],[1,6],[1,6],[1,6],[2,3],[2,3]]",not_applicable,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,cubic_spin_glass,0.02,inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,25.0,maximum_reuse,2,0.04936305732388536,1.0,0.28463541666666664,infeasible_baseline,20,44,baseline_maximum_reuse,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[null,null,[2,3],null,null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,3.0,deterministic_pareto_beam,1,0.00431034483045977,1.0,0.2638020833333333,pass,27,36,main,"{""auxiliary_count"":0.05,""maximum_penalty"":0.05,""two_qubit_depth"":0.45,""two_qubit_gate_count"":0.45}"
"[null,null,null,null,null]",64,5bdec984a409335ca07aa5bec867f3c5fee9cf14,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,max3sat,0.02,inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,0.0,deterministic_pareto_beam,0,0.0,1.0,0.15885416666666666,pass,34,36,weights_equal,"{""auxiliary_count"":0.25,""maximum_penalty"":0.25,""two_qubit_depth"":0.25,""two_qubit_gate_count"":0.25}"
