family,variant_id,instance_count,pass_count,feasible_fraction,resource_score_mean,fibre_excess_mean,n_auxiliary_mean,config_hash,code_commit
max3sat,main,30,30,1.0,0.2762586805555555,0.013316355082662063,1.6666666666666667,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
max3sat,margin_0.5,30,30,1.0,0.2758854166666667,0.01355992332214264,1.7,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
max3sat,margin_2.0,30,30,1.0,0.2772222222222222,0.013179846710002443,1.6666666666666667,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
max3sat,tau_0.0,30,30,1.0,0.3304513888888889,2.0843674181188877e-12,0.4666666666666667,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
max3sat,tau_0.01,30,30,1.0,0.2950434027777778,0.005939843243298238,1.5333333333333334,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
max3sat,tau_0.05,30,30,1.0,0.26528645833333336,0.02296913297217991,2.0,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
max3sat,tau_0.1,30,30,1.0,0.26340277777777776,0.026239975649460567,2.033333333333333,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
max3sat,weights_auxiliary_heavy,30,30,1.0,0.18988715277777776,0.0,0.0,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
max3sat,weights_equal,30,30,1.0,0.18988715277777776,0.0,0.0,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
max3sat,weights_penalty_heavy,30,30,1.0,0.18578993055555557,0.003106193946281083,0.43333333333333335,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
