instance_id,family,n_original,cubic_count,proof_complete,lower_bound,upper_bound,final_gap,explored_nodes,evaluated_leaves,pruned_by_bound,pruned_by_capacity,runtime_sec,selected_actions,matches_frozen_optimum,config_hash,code_commit
inst_bba637dc6de6f0d66c9a34e61b6be97194a7bd5f29770aa75d5e71aa6ed3018b,cubic_spin_glass,7,7,True,0.2296875,0.2296875,0.0,17409,12284,0,3092,8.209489299973939,"[None, None, None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_be5ce5c93077930c31c2c6547c4924494e92f557d230b1e1b224b3b2ee296661,max3sat,5,7,True,0.30416666666666664,0.30416666666666664,0.0,21845,16384,0,0,9.506484500016086,"[[1, 4], None, [3, 5], [1, 4], None, [3, 5], [3, 5]]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_c1271be36e6d6f11dfbe643bfcce6bfa30c5bcee1fbac91fa51de48f9194818a,cubic_spin_glass,6,6,True,0.196875,0.196875,0.0,5461,4096,0,0,2.16620779997902,"[None, None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_c422b1789380812ef5fc1ce3acff0aa8f72adf09c258f54fdecaa1fb003b22fa,cubic_spin_glass,8,8,True,0.225,0.225,0.0,28629,17968,0,14016,12.66177860001335,"[None, None, None, None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_d278b327d76f6ef06ca10dfd016bdc3d469773e53692f7a49d4760cf4c666252,max3sat,5,5,True,0.24427083333333333,0.24427083333333333,0.0,1365,1024,0,0,0.438166200008709,"[None, [3, 4], None, None, [3, 4]]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_d3c2d6023cd84ca91146b592338437fe9dff0b1e99c18bee1d0bf70aeae6a8e9,cubic_spin_glass,8,8,True,0.2109375,0.2109375,0.0,20901,11977,0,14796,8.857027400052175,"[None, None, None, None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_d41f0f7cfadf548afd8b36d546bb429f87eb0a321ce54be13730294aea45e72a,max3sat,6,7,True,0.31614583333333335,0.31614583333333335,0.0,21449,15988,0,396,9.136680600000545,"[None, None, None, [5, 6], None, [5, 6], [5, 6]]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_d95ba9f5c6b1b663c2de24561e48d4b13c46cc51b82ce790ae6af438b438eddc,cubic_spin_glass,7,7,True,0.2109375,0.2109375,0.0,17409,12284,0,3092,7.585909100016579,"[None, None, None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_d9fcb64321ce091430ee6b0db1aa4dfbaad697aa5555a67df934058f2ba4f14a,cubic_spin_glass,5,5,True,0.1640625,0.1640625,0.0,1365,1024,0,0,0.5348954999935813,"[None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_da60bc0b894e25413beefdc46809ea64d66dfacb21e83b989411c128c9855efe,cubic_spin_glass,7,7,True,0.2203125,0.2203125,0.0,17700,12499,0,3105,7.7398656999575906,"[None, None, None, None, None, None, None]",True,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
